project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
kakarot-kkrt-labs,2023-04-01,0,0,0,0,0,0,0,0,0,35,315,831,1245,1857,1324,1063,332
defi-llama,2021-09-01,13,8,75,133,105,160,143,163,317,111,352,355,302,235,861,1068,1178
rotki,2020-02-01,0,0,0,0,0,21,82,132,158,176,337,385,231,291,484,263,309
opensource-observer,2023-11-01,0,0,0,0,0,0,0,242,207,41,125,224,301,346,491,568,328
snapshot-labs,2020-10-01,0,0,0,0,0,0,0,0,182,285,232,158,101,185,212,226,200
nethermindeth,2019-10-01,43,57,4,52,38,109,130,108,81,98,313,343,308,242,232,293,193
giveth,2020-07-01,73,69,38,75,104,101,112,81,127,170,125,215,250,296,338,319,362
teku-consensys,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,145,357,280,143,234,237
vyperlang,2019-10-01,0,0,0,0,0,0,0,0,0,116,177,133,169,179,72,142,370
gnosischain,2023-04-01,65,30,27,54,70,61,61,120,135,76,155,272,97,720,359,57,31
zigzagexchange,2021-11-01,0,0,0,0,0,0,0,0,4,68,43,92,135,70,190,229,297
commonsbuild,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,349,223
sushi,2021-02-01,0,0,1,21,17,34,22,49,54,127,57,182,158,105,191,237,103
dimensiondev,2020-04-01,256,316,342,334,457,144,355,306,383,342,256,336,426,459,450,593,566
pluralitybook,2023-11-01,0,0,0,26,15,37,13,33,20,17,64,146,567,89,70,16,25
banklessdao,2021-06-01,0,0,0,0,0,0,0,31,35,89,161,93,41,115,74,136,183
blockful-io,2024-01-01,0,0,0,1,0,13,75,160,79,321,189,133,98,80,86,80,117
enviodev,2024-09-01,16,8,17,10,18,67,82,460,400,267,336,184,138,70,173,86,215
relaycc,2022-06-01,0,0,0,0,0,0,0,0,0,0,63,110,171,109,40,212,60
vacp2p,2024-04-01,254,292,155,162,97,129,148,268,112,437,276,196,396,260,369,46,249
ethstorage,2024-01-01,35,27,23,38,80,61,125,105,169,79,66,130,156,110,231,173,249
togethercrew,2024-08-01,62,38,22,27,263,323,306,514,188,184,406,652,238,234,192,94,174
streamethorg,2023-08-01,0,0,0,0,0,0,0,6,29,36,91,154,44,43,110,39,95
quantum3-labs,2024-04-01,0,0,0,0,0,0,0,5,50,23,31,255,291,3,0,0,0
dethcrypto,2021-11-01,0,0,0,0,0,0,50,63,151,49,94,25,206,55,101,58,89
openbuildxyz,2023-11-01,0,0,0,0,0,8,1,0,2,3,4,2,36,24,5,353,140
redstone-finance,2022-06-01,0,11,48,19,18,11,12,57,96,28,54,13,124,64,211,71,155
zkemail,2023-08-01,0,0,0,7,10,11,12,13,8,27,81,170,59,56,77,47,24
metagame-metafam,2020-01-01,0,0,0,0,0,0,0,0,0,7,31,17,13,47,101,215,53
darkforest-eth,2021-03-01,0,0,1,4,0,13,67,1,0,0,41,124,164,85,78,76,2
ankr-network,2022-03-01,0,0,0,0,0,0,0,26,208,154,30,21,30,75,9,85,101
lighthouse-sigp,2019-02-01,0,1,3,28,152,75,125,180,208,166,74,96,65,215,195,139,85
artizen-fund,2022-06-01,0,0,0,0,0,0,0,0,5,24,44,57,61,14,128,109,23
spinamp,2022-08-01,0,0,0,1,3,23,14,0,139,216,76,121,36,0,0,0,0
guardian-project,2024-10-01,6,5,25,38,14,5,17,4,24,15,2,70,48,32,71,144,124
lenspost-labs,2024-04-01,0,0,0,0,0,0,0,0,35,16,60,73,73,91,20,26,29
quest-chains,2022-08-01,0,0,0,0,0,0,0,19,49,16,39,52,55,67,114,34,9
pool-together,2021-03-01,119,74,91,50,34,65,22,53,54,72,71,104,305,44,35,155,88
psf,2020-12-01,347,651,428,283,457,386,417,297,254,292,433,318,618,737,391,563,275
eth-brownie,2020-07-01,0,0,0,0,0,0,11,69,12,29,14,45,49,87,78,43,95
turbo-eth,2023-04-01,0,0,0,0,0,9,4,8,44,101,70,109,64,22,2,4,5
dspytdao,2023-04-01,22,36,30,30,45,64,45,19,6,30,32,78,53,53,102,170,116
zokrates,2019-02-01,0,0,0,0,2,40,33,64,22,70,84,23,90,94,30,45,33
