project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
gnosischain,2023-04-01,79.0,44.0,44.0,101.0,134.0,82.0,61.0,178.0,219.0,108.0,220.0,476.0,154.0,1408.0,696.0,82.0,51.0,90.375,399.375,46.38022207795042,464.5363087454598,309.0,3.4190871369294604,0.338228730971731,0.002682015269169535,0.0,0.0,1.1224420460087523,5.700716432835978,4.578274386827225
kakarot-kkrt-labs,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,83.0,187.0,340.0,673.0,258.0,205.0,365.0,0.0,264.875,0.0,203.8889315989748,264.875,inf,0.0,0.2732625650275832,0.0,0.0,-0.19889829019432193,3.6979782004260104,3.8968764906203326
commonsbuild,2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,300.0,154.0,0.0,116.0,0.0,181.5583337977868,116.0,inf,0.0,0.41274353932537905,0.0,0.0,-0.19889829019432193,1.4811926662250159,1.6800909564193378
opensource-observer,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,168.0,35.0,121.0,125.0,162.0,125.0,167.0,162.0,133.0,28.0,128.75,79.19595949289332,42.375026337960634,100.75,3.5982142857142856,0.3333333333333334,0.45480461964809,0.0,0.0,0.2104796286293138,1.671043316509232,1.4605636878799182
zigzagexchange,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,132.0,28.0,94.0,250.0,282.0,0.0,100.375,0.0,112.5026190171335,100.375,inf,0.0,0.7445519459478599,0.0,0.0,-0.19889829019432193,1.2485325555825941,1.447430845776916
rotki,2020-02-01,0.0,0.0,0.0,0.0,0.0,11.0,28.0,56.0,60.0,56.0,112.0,81.0,43.0,114.0,124.0,101.0,134.0,11.875,95.625,20.399142138825347,32.65813178105219,83.75,7.052631578947368,0.6523276177397965,0.38068529268489104,0.0,0.0,-0.02527819069322641,1.1778038819472978,1.2030820726405242
giveth,2020-07-01,21.0,40.0,21.0,41.0,94.0,58.0,71.0,49.0,46.0,67.0,32.0,82.0,89.0,149.0,185.0,213.0,230.0,49.375,130.875,24.790191032514684,73.51081067240577,81.5,1.650632911392405,0.36698421922888,0.9177502767542918,0.0,0.0,0.5229958077312857,1.7026850915566014,1.1796892838253157
pluralitybook,2023-11-01,0.0,0.0,0.0,18.0,17.0,7.0,12.0,50.0,37.0,26.0,34.0,119.0,388.0,56.0,31.0,7.0,11.0,13.0,84.0,16.707568857941517,127.81459786961516,71.0,5.461538461538462,0.5632524248184434,0.03637846058007659,0.0,0.0,-0.008829970740491045,1.0047047596293361,1.0135347303698272
relaycc,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,58.0,15.0,17.0,249.0,62.0,0.0,59.625,0.0,81.99117983922766,59.625,inf,0.0,0.2692582322957685,0.0,0.0,-0.19889829019432193,0.641754987027158,0.84065327722148
ethereum-lists,2021-06-01,0.0,12.0,3.0,3.0,5.0,23.0,15.0,15.0,21.0,34.0,21.0,42.0,29.0,103.0,91.0,115.0,117.0,9.5,69.0,7.9642056370093455,41.26222762492869,59.5,6.2631578947368425,0.4440690690690693,0.8080934001390454,0.0,0.0,-0.06000221059344551,0.7813510534126111,0.8413532640060566
teku-consensys,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,125.0,50.0,59.0,79.0,65.0,0.0,51.875,0.0,41.25335484193117,51.875,inf,0.0,0.35339965813298246,0.0,0.0,-0.19889829019432193,0.5263555721485169,0.7252538623428388
blockful-io,2024-01-01,0.0,0.0,0.0,0.0,0.0,41.0,109.0,98.0,52.0,119.0,62.0,77.0,70.0,89.0,111.0,66.0,52.0,31.0,80.75,47.02279082681989,23.81925991413551,49.75,1.6048387096774193,0.7050391031202508,0.16124410232429875,0.0,0.0,0.25434154850327473,0.9563114566157124,0.7019699081124376
sushi,2021-02-01,0.0,0.0,1.0,8.0,5.0,18.0,12.0,17.0,51.0,41.0,22.0,63.0,52.0,43.0,112.0,90.0,24.0,7.625,55.875,7.386038953902926,31.466251762801363,48.25,6.327868852459017,0.8031953861741096,0.11068570844573158,0.0,0.0,-0.08741591051467111,0.5859165604729768,0.6733324709876479
passportxyz,2024-10-01,0.0,0.0,0.0,0.0,4.0,3.0,59.0,59.0,55.0,51.0,70.0,72.0,59.0,61.0,76.0,65.0,28.0,15.625,60.25,26.816506110975755,15.266677063835095,44.625,2.856,0.6146937829538212,0.10793456211782906,0.0,0.0,0.029549209149224803,0.6510613914528549,0.6215121823036301
dimensiondev,2020-04-01,57.0,93.0,60.0,80.0,121.0,54.0,70.0,62.0,64.0,87.0,113.0,81.0,100.0,86.0,145.0,159.0,179.0,74.625,118.75,22.82816243152304,37.47284731261138,44.125,0.5912897822445561,0.005301520944189624,0.6701789317385228,0.0,0.0,0.8921669666704571,1.522140845698082,0.6299738790276249
ethersphere,2020-04-01,61.0,87.0,55.0,51.0,52.0,22.0,22.0,35.0,89.0,78.0,77.0,74.0,102.0,118.0,116.0,106.0,61.0,48.125,91.5,21.662591191795528,21.553919100048336,43.375,0.9012987012987013,0.6632581873268356,0.05166051660516607,0.0,0.0,0.504720007783802,1.1163816127376984,0.6116616049538964
nethermindeth,2019-10-01,23.0,36.0,11.0,37.0,108.0,126.0,148.0,41.0,34.0,87.0,197.0,120.0,92.0,64.0,104.0,128.0,51.0,66.25,105.375,52.54589830397258,45.21042073302507,39.125,0.590566037735849,0.3740057036913848,0.18842811754931835,0.0,0.0,0.7697191070223162,1.322983790988169,0.5532646839658528
sourcify-ethereum,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,59.0,7.0,11.0,64.0,37.0,48.0,34.0,69.0,52.0,2.625,40.25,6.653409437488207,22.676293473896603,37.625,14.333333333333334,0.3928043181774525,0.45753047711653083,0.0,0.0,-0.16051911030460606,0.353256449830555,0.513775560135161
banyancomputer,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,209.0,8.0,2.0,0.0,36.75,0.0,74.22889310388895,36.75,inf,0.0,0.08820441022051102,0.0,0.0,-0.19889829019432193,0.30114058504665253,0.5000388752409745
commons-stack,2020-02-01,30.0,11.0,12.0,0.0,3.0,7.0,1.0,10.0,15.0,13.0,6.0,3.0,1.0,17.0,104.0,133.0,67.0,9.25,43.0,9.558093055476226,51.6941555138075,33.75,3.6486486486486487,0.37979820544324067,0.5645705732308962,0.0,0.0,-0.06365737058294225,0.39420462930362127,0.4578619998865635
vyperlang,2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,58.0,20.0,25.0,21.0,35.0,78.0,0.0,33.375,0.0,23.80238583479756,33.375,inf,0.0,0.31621106853558706,0.0,0.0,-0.19889829019432193,0.25088600114788945,0.4497842913422114
redstone-finance,2022-06-01,0.0,0.0,1.0,1.0,4.0,2.0,11.0,38.0,17.0,40.0,25.0,10.0,33.0,35.0,83.0,53.0,36.0,7.125,39.375,12.988318927845459,21.480472859918944,32.25,4.526315789473684,0.5389919702399855,0.2043588595312733,0.0,0.0,-0.09472623049366462,0.3402274836345794,0.434953714128244
pairwise-general-magic,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,26.0,38.0,165.0,12.0,0.0,32.25,0.0,55.257190870122436,32.25,inf,0.0,0.293163430015139,0.0,0.0,-0.19889829019432193,0.23413447318163505,0.433032763375957
pypa,2021-09-01,319.0,364.0,342.0,373.0,251.0,241.0,355.0,195.0,331.0,126.0,342.0,378.0,513.0,277.0,394.0,385.0,269.0,305.0,335.5,66.84951116393555,113.99373416364352,30.5,0.1,0.34065003151059053,0.06915394288143349,0.0,0.0,4.26039689699171,4.749601900529758,0.4892050035380473
clrfund,2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,18.0,15.0,27.0,21.0,52.0,30.0,64.0,0.0,29.125,0.0,19.526081458983448,29.125,inf,0.0,0.72716790336574,0.0,0.0,-0.19889829019432193,0.1876024510531507,0.38650074124747263
opentothepublic,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.0,0.0,124.0,4.0,0.0,14.0,2.0,0.0,28.375,0.0,47.623336116416105,28.375,inf,0.0,0.07693951626963194,0.0,0.0,-0.19889829019432193,0.17643476574231445,0.37533305593663635
labdao,2022-08-01,0.0,0.0,11.0,8.0,21.0,2.0,1.0,14.0,0.0,3.0,3.0,0.0,3.0,29.0,41.0,114.0,90.0,7.125,35.375,7.754031209635412,44.13271381380743,28.25,3.9649122807017543,0.11202568345425486,0.7526635118845699,0.0,0.0,-0.09472623049366462,0.2806664953101194,0.375392725803784
banklessdao,2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,23.0,53.0,40.0,8.0,33.0,28.0,30.0,11.0,0.375,28.25,1.0606601717798212,14.694508206420908,27.875,74.33333333333333,0.3333333333333334,0.17366854118425412,0.0,0.0,-0.19341555021007678,0.17457348485717508,0.3679890350672519
nftstorage,2024-04-01,48.0,8.0,14.0,6.0,14.0,11.0,16.0,15.0,332.0,93.0,75.0,94.0,16.0,39.0,10.0,9.0,11.0,16.5,43.375,13.201731488169052,38.05611458284801,26.875,1.628787878787879,0.1798594847775176,0.7537088346799459,0.0,0.0,0.04234226911246342,0.3997884719590394,0.35744620284657597
vacp2p,2024-04-01,6.0,27.0,2.0,2.0,2.0,11.0,11.0,13.0,10.0,9.0,125.0,10.0,24.0,15.0,65.0,5.0,32.0,9.25,35.625,8.481071360893706,40.93178122542084,26.375,2.8513513513513513,0.00018915212559701144,0.04064847537130453,0.0,0.0,-0.06365737058294225,0.2843890570803982,0.34804642766334043
greenpill-dev-guild,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,25.0,2.0,3.0,93.0,35.0,31.0,10.0,13.0,0.75,26.5,2.1213203435596424,29.57798409048769,25.75,34.333333333333336,0.3333333333333334,0.0003149202202108799,0.0,0.0,-0.18793281022583166,0.14851555246522383,0.3364483626910555
streamethorg,2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,27.0,61.0,12.0,10.0,42.0,14.0,22.0,0.0,25.125,0.0,17.955798904134404,25.125,inf,0.0,0.009813928340652242,0.0,0.0,-0.19889829019432193,0.1280414627286907,0.32693975292301264
givepraise,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,45.0,25.0,98.0,0.0,24.0,0.0,34.27202107509023,24.0,inf,0.0,0.6811718849544197,0.0,0.0,-0.19889829019432193,0.11128993476243636,0.3101882249567583
quantum3-labs,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,117.0,71.0,33.0,47.0,48.0,1.0,0.0,0.0,0.0,2.0,25.0,5.656854249492381,28.395170615541552,23.0,11.5,0.3333333333333334,0.7619764773379231,0.0,0.0,-0.16965701027834793,0.12618018184355134,0.2958371921218993
nounspace,2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,51.0,36.0,1.0,18.0,41.0,18.0,8.0,38.0,4.625,26.375,13.08147545195113,17.606309745575388,21.75,4.702702702702703,0.3333333333333333,0.06761690793029002,0.0,0.0,-0.13127783038863208,0.14665427158008446,0.27793210196871654
opencollective,2024-10-01,66.0,31.0,95.0,37.0,64.0,63.0,39.0,66.0,70.0,81.0,70.0,136.0,85.0,53.0,74.0,64.0,51.0,57.625,76.75,21.002975979608223,26.831484704141353,19.125,0.3318872017353579,0.0016211641925118023,0.24776172995242357,0.0,0.0,0.6436160873846783,0.8967504682912524,0.25313438090657403
eth-brownie,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,21.0,19.0,15.0,29.0,21.0,33.0,23.0,19.0,37.0,6.0,24.5,14.020393310154626,7.690439333539869,18.5,3.0833333333333335,0.44296788482835003,0.281803542673108,0.0,0.0,-0.11117445044639998,0.11873505830299384,0.2299095087493938
0xbootleggers,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,19.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,17.875,0.0,28.462694882951613,17.875,inf,0.0,0.5187418587246657,0.0,0.0,-0.19889829019432193,0.02008717139060701,0.21898546158492893
peeramid-labs,2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,11.0,20.0,20.0,25.0,25.0,2.0,0.0,17.0,0.0,10.501700542565203,17.0,inf,0.0,0.0007710338021218849,0.0,0.0,-0.19889829019432193,0.00705820519463139,0.2059564953889533
impact-stream-0xprimordia,2023-08-01,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,24.0,55.0,40.0,10.0,0.0,0.0,14.0,0.0,1.125,17.875,3.181980515339464,20.496950992769634,16.75,14.88888888888889,0.061224489795918366,0.5120945134971572,0.0,0.0,-0.18245007024158655,0.02008717139060701,0.20253724163219355
shenanigandapp,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,17.0,32.0,0.0,15.0,11.0,1.0,29.0,0.125,16.625,0.3535533905932738,12.385907891055636,16.5,132.0,0.1700680272108843,0.08115358819584173,0.0,0.0,-0.19707071019957353,0.0014743625392132668,0.1985450727387868
optionhq,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,58.0,13.0,25.0,18.0,0.0,0.0,0.375,16.625,1.0606601717798212,19.390258968284638,16.25,43.333333333333336,0.17006802721088443,0.09320034829415028,0.0,0.0,-0.19341555021007678,0.0014743625392132668,0.19488991274929005
aletheia-data,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,8.0,24.0,37.0,0.0,15.75,0.0,21.625051610177884,15.75,inf,0.0,0.3847636503814907,0.0,0.0,-0.19889829019432193,-0.011554603656762353,0.18734368653755956
guardian-project,2024-10-01,0.0,8.0,7.0,6.0,11.0,1.0,0.0,5.0,10.0,5.0,0.0,27.0,8.0,15.0,10.0,57.0,39.0,4.75,20.125,4.06201920231798,19.540708424064,15.375,3.236842105263158,0.01669758812615955,0.5109555209634713,0.0,0.0,-0.12945025039388372,0.05359022732311575,0.18304047771699947
dethcrypto,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,44.0,18.0,29.0,13.0,25.0,13.0,28.0,13.0,21.0,5.25,20.0,9.7357955137582,6.782329983125268,14.75,2.8095238095238093,0.5787849427638425,0.012496302868973677,0.0,0.0,-0.12213993041489021,0.051728946437976375,0.1738688768528666
lighthouse-sigp,2019-02-01,0.0,2.0,3.0,11.0,22.0,14.0,37.0,32.0,75.0,53.0,22.0,17.0,24.0,49.0,26.0,22.0,24.0,15.125,29.625,14.024850393905405,13.490075717250177,14.5,0.9586776859504132,0.8484058534898302,0.10654125255243889,0.0,0.0,0.02223888917023131,0.1950475745937082,0.17280868542347688
enviodev,2024-09-01,8.0,0.0,0.0,2.0,7.0,11.0,5.0,4.0,32.0,41.0,27.0,11.0,3.0,1.0,28.0,13.0,28.0,4.625,19.0,3.9256482631170977,14.09153748075165,14.375,3.108108108108108,0.06759366550791812,0.053717026378896894,0.0,0.0,-0.13127783038863208,0.036838699356861376,0.16811652974549346
raid-guild,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,11.0,32.0,22.0,10.0,25.0,2.0,19.0,1.375,15.625,3.8890872965260113,10.568653110563737,14.25,10.363636363636363,0.3333333333333334,0.005549845837615622,0.0,0.0,-0.1787949102520898,-0.013415884541901728,0.16537902571018806
metagame-metafam,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,0.0,9.0,65.0,7.0,1.0,0.0,13.5,0.0,21.77154105707724,13.5,inf,0.0,0.02250351617440226,0.0,0.0,-0.19889829019432193,-0.04505765958927109,0.15384063060505082
daomasons,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,73.0,34.0,54.0,59.0,101.0,0.0,0.0,0.0,0.0,18.0,31.0,50.91168824543142,37.92097045171708,13.0,0.7222222222222222,0.3333333333333334,0.3653245721097897,0.0,0.0,0.06427322904944391,0.2155216643302413,0.1512484352807974
viaprize,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,19.0,1.0,18.0,0.0,12.75,0.0,20.707141625190914,12.75,inf,0.0,0.11806795015190821,0.0,0.0,-0.19889829019432193,-0.05622534490010734,0.1426729452942146
zokrates,2019-02-01,0.0,0.0,0.0,0.0,1.0,11.0,15.0,24.0,22.0,12.0,24.0,14.0,18.0,36.0,20.0,9.0,14.0,6.375,18.375,9.241791724861272,8.551315688243536,12.0,1.8823529411764706,0.7639058968768356,0.007267864410721553,0.0,0.0,-0.10569171046215485,0.02753229493116451,0.13322400539331936
crunchdao,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,52.0,4.0,20.0,4.0,0.0,6.0,3.0,6.0,0.0,11.875,0.0,17.274568425454635,11.875,inf,0.0,0.3964568533415402,0.0,0.0,-0.19889829019432193,-0.06925431109608296,0.12964397909823897
beacon-chain,2020-02-01,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,7.0,19.0,28.0,8.0,34.0,4.0,5.0,1.5,13.125,2.32992949004287,12.403196592583935,11.625,7.75,0.4912280701754388,0.011193101732857973,0.0,0.0,-0.17696733025734143,-0.05064150224468921,0.1263258280126522
zkemail,2023-08-01,0.0,0.0,0.0,2.0,5.0,8.0,4.0,1.0,11.0,10.0,17.0,15.0,14.0,21.0,21.0,10.0,3.0,2.5,13.875,2.9277002188455996,6.104740546727366,11.375,4.55,0.28928571428571426,0.07942592465831569,0.0,0.0,-0.16234669029935445,-0.03947381693385297,0.12287287336550148
valist-io,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,68.0,13.0,0.0,11.375,0.0,23.47605162713696,11.375,inf,0.0,0.3279022654650429,0.0,0.0,-0.19889829019432193,-0.07669943463664046,0.12219885555768147
