project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
defi-llama,2021-09-01,23.0,23.0,71.0,73.0,74.0,159.0,138.0,127.0,319.0,135.0,538.0,665.0,641.0,590.0,736.0,789.0,943.0
snapshot-labs,2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,328.0,266.0,271.0,216.0,295.0,297.0,346.0,245.0
openbuildxyz,2023-11-01,0.0,0.0,0.0,0.0,2.0,10.0,14.0,0.0,64.0,57.0,81.0,12.0,18.0,62.0,9.0,1412.0,570.0
zigzagexchange,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,62.0,178.0,451.0,204.0,369.0,446.0,399.0
kakarot-kkrt-labs,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,85.0,195.0,344.0,385.0,259.0,259.0,151.0
opensource-observer,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,186.0,49.0,141.0,166.0,193.0,217.0,337.0,358.0,208.0
us3r-network,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,72.0,163.0,166.0,37.0,300.0,189.0,191.0,233.0
sushi,2021-02-01,0.0,0.0,0.0,13.0,27.0,77.0,74.0,40.0,156.0,107.0,211.0,196.0,172.0,205.0,243.0,357.0,91.0
ankr-network,2022-03-01,0.0,2.0,0.0,0.0,2.0,4.0,9.0,76.0,228.0,243.0,150.0,121.0,163.0,179.0,144.0,185.0,188.0
teku-consensys,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,322.0,126.0,117.0,203.0,175.0
eppie-io,2023-04-01,0.0,0.0,14.0,10.0,49.0,24.0,32.0,160.0,90.0,154.0,143.0,83.0,96.0,224.0,128.0,239.0,64.0
ambiretech,2023-11-01,37.0,12.0,63.0,31.0,7.0,8.0,16.0,13.0,13.0,16.0,62.0,155.0,85.0,213.0,107.0,168.0,209.0
nethermindeth,2019-10-01,11.0,46.0,56.0,25.0,82.0,78.0,119.0,52.0,49.0,85.0,161.0,241.0,124.0,155.0,213.0,167.0,133.0
streamethorg,2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,41.0,46.0,87.0,215.0,78.0,40.0,111.0,56.0,105.0
raid-guild,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,130.0,81.0,133.0,69.0,87.0,62.0,61.0
rotki,2020-02-01,0.0,0.0,0.0,0.0,0.0,25.0,52.0,85.0,79.0,82.0,125.0,86.0,72.0,116.0,182.0,81.0,108.0
ethersphere,2020-04-01,146.0,192.0,126.0,122.0,45.0,56.0,91.0,48.0,149.0,160.0,300.0,137.0,192.0,233.0,133.0,171.0,143.0
dapp-learning-dao,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,151.0,91.0,106.0,112.0,88.0,85.0
stereum-dev,2021-03-01,0.0,0.0,0.0,0.0,22.0,22.0,35.0,39.0,150.0,194.0,96.0,133.0,158.0,71.0,73.0,24.0,2.0
