project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
weichain,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curve,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curve,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weichain,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opencollective,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opencollective,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walletconnect,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethereumphone,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guardian-project,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethereumphone,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dmeter4dmrv,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dmeter4dmrv,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guardian-project,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blocknative,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aztecprotocol,2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipfs,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipfs,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blocknative,2023-09-01,10,4,15,10,28,7,8,12,1,0,0,0,0,0,0,0,0
unlock-protocol,2024-04-01,1,3,4,1,2,2,2,3,3,3,2,3,2,2,4,3,1
alphawallet,2020-12-01,0,3,2,2,0,1,1,1,0,1,0,1,2,1,1,2,2
desci-latam,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fission-codes,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
fission-codes,2019-02-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
aoraki-labs,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web3,2024-04-01,6,1,4,1,1,2,2,2,1,1,1,2,2,1,1,1,1
babel,2021-06-01,5,5,3,0,15,6,4,4,3,1,5,4,3,3,3,5,7
aastarcommunity,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aoraki-labs,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
aastarcommunity,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moztw,2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moztw,2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w3c,2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w3c,2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mach-34,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lido,2021-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
mach-34,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambiretech,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seroxdesign,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambiretech,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grassrootseconomics,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grassrootseconomics,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seroxdesign,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minerva-wallet-lab10-coop,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minerva-wallet-lab10-coop,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dappnode,2019-10-01,2,1,0,2,0,2,1,5,2,3,3,0,2,0,0,0,0
dappnode,2019-10-01,2,1,0,2,1,1,0,2,0,2,2,1,0,1,3,1,0
leastauthority,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goerli,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goerli,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leastauthority,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walletconnect,2020-02-01,0,3,4,3,1,0,1,3,4,3,3,4,1,2,0,0,1
blockchain-lab-um,2024-04-01,139,32,14,1,2,4,0,40,18,0,0,0,0,0,0,0,0
alto-io,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbiter-finance,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbiter-finance,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wallidprotocol,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alto-io,2020-10-01,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0
