project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
MusicBot,2024-08-15T06:31:43Z,5,16,11,105,110,37,19,95,133,119,78,44,43,24,12,9,3
carla,2022-03-14T17:06:52Z,395,215,158,237,230,140,223,151,136,485,142,143,157,116,137,176,173
sol2,2019-05-24T14:21:33Z,43,42,59,47,56,65,103,39,31,48,67,41,34,60,70,30,29
modern-cpp-tutorial,2021-02-25T23:01:39Z,5,9,10,6,13,2,4,5,2,2,4,5,4,6,11,7,4
gensim,2021-04-06T14:21:29Z,103,212,141,59,59,99,96,263,148,208,128,70,101,125,72,44,85
testcontainers-java,2020-06-30T14:16:47Z,305,247,236,233,249,288,375,420,298,246,211,180,325,257,339,198,222
Scrutor,2024-04-16T15:08:27Z,4,24,16,7,6,6,10,0,0,3,1,2,0,26,12,15,22
lombok,2022-01-11T11:10:03Z,82,95,47,51,155,132,61,90,154,121,126,176,88,42,51,24,43
misskey,2024-05-14T10:45:50Z,479,1090,1250,1401,1236,1492,792,579,503,1192,1466,681,870,1018,673,375,749
puppeteer-sharp,2023-03-05T15:15:33Z,35,22,11,35,25,36,45,51,53,26,34,31,18,29,12,14,65
sonic,2022-07-09T05:58:01Z,8,14,2,5,4,3,5,32,17,5,3,34,17,4,6,1,2
cargo-expand,2019-11-15T20:49:51Z,25,5,0,2,1,11,0,0,1,3,0,0,8,7,0,14,0
Rectangle,2020-09-02T17:35:32Z,53,46,44,90,63,70,38,20,72,94,51,70,39,29,36,17,37
testcontainers-go,2020-06-30T14:16:47Z,15,46,15,32,74,10,34,19,29,22,25,31,25,15,10,35,19
slides,2022-10-29T16:52:10Z,11,8,22,1,16,14,19,15,6,22,1,10,11,20,5,10,13
traefik,2025-01-08T12:52:41Z,321,242,400,303,242,244,165,163,351,192,244,182,191,222,261,231,190
