project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
tabby,2022-02-15T09:04:44Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndroidWiFiADB,2022-09-13T23:08:18Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kicanvas,2020-04-30T03:57:36Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epic,2025-03-01T10:14:09Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vue-mdc,2019-06-18T23:50:30Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bayard,2025-07-25T14:39:11Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
revanced-patches,2023-04-12T21:35:21Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nocodb,2020-12-19T17:49:59Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuxt,2021-01-05T20:21:32Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kokoro-web,2023-03-14T06:48:51Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phanpy,2019-10-26T12:20:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ImageGlass,2023-01-05T17:14:24Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swashbuckle.WebApi,2024-02-08T13:05:25Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
molten,2020-12-20T07:37:46Z,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
legit,2025-09-16T08:42:10Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npm-run-all,2020-05-09T01:21:30Z,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ai-no-jimaku-gumi,2023-08-10T11:01:36Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semantic-router,2024-07-20T15:44:32Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gitea,2022-01-26T13:31:17Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scikit-learn-ts,2021-02-18T03:39:45Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supabase,2020-12-04T17:50:46Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EffectiveAndroidUI,2022-09-13T23:08:18Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iscroll,2024-03-31T18:32:55Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratzilla,2022-12-29T10:49:16Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homemade-gpt-js,2021-03-10T00:11:10Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl,2021-02-16T01:53:18Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScpToolkit,2024-01-21T22:07:56Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QGIS,2021-12-26T14:32:14Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mapscii,2025-07-18T14:46:22Z,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cloudtunes,2020-07-01T12:36:14Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
directus,2019-11-15T15:10:28Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dockge,2021-11-20T09:32:26Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromeless,2023-09-19T21:28:05Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kami,2024-02-22T19:18:39Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viddy,2019-10-07T04:13:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fontello,2024-12-07T04:41:38Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpython,2020-10-21T23:18:34Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdenlive,2022-01-04T12:51:52Z,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
awesome-cursorrules,2022-10-04T15:36:53Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pogo,2024-07-14T01:00:56Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2025-10-28T14:09:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vllm,2024-07-20T15:44:32Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
react-native-fast-tflite,2021-03-23T06:59:08Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruffle,2020-11-22T01:39:36Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl,2020-12-19T10:09:03Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
community-legacy,2025-03-20T19:22:59Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gremlins.js,2025-04-08T09:35:54Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frigate,2019-12-11T16:56:35Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweetalert,2024-03-20T04:33:38Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalwart,2022-09-28T08:58:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dns-blocklists,2024-06-16T14:23:42Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
