project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
logseq,2020-09-22T11:25:49.718Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2
webpack,2016-10-15T15:48:09.612Z,11,6,5,1,0,7,6,14,4,1,0,6,2,0,4,1,2
darkreader,2018-03-13T08:01:17.039Z,0,0,0,4,2,0,2,0,0,5,4,0,0,1,0,3,0
generator-jhipster,2017-12-04T17:37:57.900Z,1,2,4,28,0,7,23,44,42,11,4,143,58,38,17,16,14
socketio,2017-05-09T06:56:43.674Z,4,7,6,1,3,0,0,0,0,3,0,0,0,0,0,0,0
mochajs,2016-04-01T14:34:11.748Z,0,8,0,0,7,9,3,0,0,6,7,5,2,0,0,0,0
babel,2017-04-01T16:52:19.229Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core-js,2019-03-22T03:38:17.681Z,4,0,0,0,6,1,1,4,16,3,4,0,7,0,0,10,4
swiper,2021-01-29T07:03:01.329Z,1,1,0,0,2,2,2,4,2,24,0,5,17,5,3,3,4
nixos,2019-07-15T20:14:53.300Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jellyfin,2019-02-07T05:23:11.906Z,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,2
opencore-legacy-patcher,2023-06-12T19:20:54.139Z,4,2,0,2,1,17,20,6,9,10,7,2,16,0,1,0,0
playframework,2021-11-08T21:38:39.747Z,70,42,18,8,4,54,2,3,6,18,23,21,12,30,24,14,1
eslint,2019-02-07T00:19:05.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radarr,2018-03-19T21:56:07.916Z,0,0,0,1,0,0,0,1,2,2,0,0,0,1,3,11,5
bower,2017-04-07T00:12:10.581Z,67,68,65,130,76,29,43,67,44,47,37,41,21,21,48,8,6
bootstrap-vue,2017-11-13T19:51:05.087Z,0,48,24,0,104,223,11,33,30,4,0,0,0,5,0,3,0
openaddresses,2020-01-04T16:05:09.586Z,0,1,9,0,0,0,0,3,0,8,0,2,0,0,0,0,18
streetmix,2016-09-20T15:00:20.116Z,0,0,2,0,21,34,3,0,54,11,0,0,0,0,8,1,0
nodemon,2017-12-07T20:28:06.923Z,0,0,0,0,0,1,0,0,16,1,2,1,0,1,0,2,0
lairdubois-opencutlist-sketchup-extension,2019-11-11T12:02:52.805Z,10,0,5,5,12,1,17,3,10,13,1,14,0,5,9,6,28
rust-analyzer,2019-07-02T14:20:06.250Z,0,0,8,1,3,0,0,0,6,3,1,3,16,2,4,7,3
lucee,2019-02-08T02:20:32.391Z,9,6,11,2,12,11,4,5,1,1,12,7,8,6,8,16,16
crystal-lang,2018-12-12T22:51:50.801Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fody,2017-12-29T08:27:24.113Z,1,0,0,5,2,0,0,0,27,32,29,56,47,25,19,27,41
cryptpad,2018-07-16T20:32:05.472Z,0,0,0,0,1,3,0,0,0,0,9,0,0,0,1,15,0
cider,2017-01-06T17:52:08.568Z,7,3,5,0,0,1,4,0,0,0,0,0,3,0,3,0,0
prettier,2019-05-23T13:58:43.878Z,0,0,0,0,0,7,1,0,3,0,0,0,2,2,4,0,0
framework7,2018-10-30T16:29:57.593Z,2,0,0,1,2,1,6,0,0,0,2,1,2,0,2,1,0
mastodon,2019-01-10T13:27:50.307Z,18,2,8,10,0,1,3,2,1,3,1,3,2,3,25,0,2
curl,2018-04-06T23:05:15.493Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bootstrap-table,2018-01-15T22:49:33.031Z,0,2,0,0,0,0,0,23,0,0,0,1,0,0,5,2,0
cadsketcher,2022-05-05T14:27:53.496Z,18,0,1,2,1,13,6,62,89,138,79,210,129,28,9,1,50
stellarium,2019-02-15T13:22:35.119Z,0,0,2,0,4,2,12,3,6,4,0,0,3,0,0,2,5
dokku,2016-06-18T23:18:38.352Z,60,42,18,60,109,70,21,12,77,23,3,28,34,22,12,57,8
spyder,2017-11-20T22:26:47.756Z,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,1
helix-editor,2022-04-26T11:11:18.858Z,2,10,0,1,1,0,0,4,0,0,0,2,2,0,0,0,0
companion,2018-10-07T13:29:30.331Z,0,0,0,0,8,2,0,0,3,0,0,0,0,24,0,1,0
tusky,2019-02-01T15:06:01.276Z,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0
librecad,2022-10-09T19:03:15.940Z,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,13
vuetify,2018-11-08T00:51:10.929Z,1,1,4,3,0,2,0,3,1,2,8,16,7,6,6,4,9
opensourcebim,2020-12-29T21:05:11.578Z,0,19,2,0,2,3,6,24,3,15,18,7,7,13,5,0,51
openipc,2020-03-07T22:34:41.601Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacksky,2023-08-11T00:00:25.101Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vyos,2021-12-30T03:34:31.288Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fedibird-infrastructure,2021-06-01T05:17:52.870Z,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
neovim,2020-09-14T02:34:22.376Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typeorm,2017-10-11T20:49:41.659Z,0,1,0,0,1,1,0,4,5,8,0,0,1,3,1,0,0
theodinproject,2023-07-24T10:21:10.668Z,30,0,20,10,19,9,51,149,362,126,156,36,12,13,112,58,27
chakra-ui,2019-10-12T15:26:27.648Z,0,0,0,0,0,0,22,10,8,0,4,2,6,23,17,21,41
kivy,2018-11-16T15:06:23.355Z,0,0,0,0,0,0,0,0,0,0,0,10,28,15,32,26,13
wikijs,2017-10-05T09:09:44.735Z,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
keeweb,2019-09-07T20:12:21.594Z,32,13,5,0,0,0,0,23,10,3,0,0,8,0,1,0,13
homebrew,2021-11-26T03:59:39.023Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keepassxc,2019-02-09T06:59:27.144Z,0,0,3,1,0,2,0,0,0,0,2,1,0,0,0,2,0
friends-of-groovy,2019-03-06T06:16:12.803Z,4,3,22,12,4,8,5,2,23,14,16,11,3,25,5,10,21
lidarr,2018-05-28T01:49:51.160Z,1,5,25,20,7,11,3,26,9,0,17,4,23,10,26,28,25
rubocop,2017-01-06T22:50:13.768Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expresslrs,2022-01-04T05:21:31.097Z,0,2,1,0,0,1,2,0,140,142,36,66,31,77,26,45,27
excalidraw,2020-01-25T21:16:30.999Z,0,0,0,0,0,0,0,0,244,114,152,190,69,52,71,61,33
rsschool,2019-10-23T10:46:19.733Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
shields,2017-12-02T10:59:33.896Z,7,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,1
servo,2024-02-19T18:34:11.841Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omnivore,2023-01-02T13:40:52.825Z,247,187,124,153,118,129,111,51,55,17,31,28,12,34,27,5,21
rollup,2018-01-12T01:29:15.038Z,0,0,0,0,3,0,7,3,0,0,1,6,0,0,0,6,30
jekyll,2018-07-31T14:49:15.360Z,0,0,0,121,77,79,93,12,78,116,48,36,16,8,8,14,52
assemblyscript,2018-09-29T21:22:25.797Z,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0
farmos,2019-02-20T17:48:15.716Z,0,0,0,0,0,0,0,2,0,1,2,0,8,0,0,0,0
typescript-eslint,2019-08-05T17:00:01.575Z,0,0,1,1,0,0,0,2,4,0,0,0,4,0,0,0,0
astrodotbuild,2021-08-14T02:58:28.579Z,0,0,0,4,9,0,199,438,194,29,4,1,0,0,18,0,0
monitorcontrol,2021-08-19T19:31:47.381Z,0,4,0,0,0,0,2,8,34,38,16,5,0,0,0,29,70
microsolidarity,2022-07-16T10:35:08.535Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asciidoctor,2018-04-18T02:05:57.720Z,6,0,0,3,1,0,8,28,12,10,0,11,5,10,0,3,8
axios,2021-03-31T20:07:03.371Z,14,1,12,2,20,0,14,1,2,3,5,2,0,21,27,30,4
phalcon,2017-03-27T19:12:02.048Z,4,10,48,119,15,108,44,16,39,10,10,10,15,7,3,4,29
pnpm,2018-10-12T10:46:19.735Z,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
edgetx,2021-11-03T21:38:43.190Z,0,0,1,2,7,27,24,23,50,14,113,21,26,117,17,80,63
octobox,2017-01-16T11:26:19.156Z,0,0,0,0,0,0,0,111,48,16,5,1,4,4,0,70,22
laradock,2019-01-30T16:37:36.407Z,4,0,3,2,1,2,2,2,0,5,1,2,3,1,2,9,1
ampalibe,2022-08-12T12:44:08.813Z,0,0,17,8,2,0,0,2,4,2,0,3,1,9,1,0,0
panda3d,2019-02-27T19:41:06.200Z,10,1,0,11,4,3,5,1,3,0,48,0,40,0,25,102,3
floating-ui,2020-01-08T16:42:33.988Z,0,1,0,0,0,0,45,86,38,26,11,29,7,0,3,0,6
meshtastic,2022-04-20T05:23:50.436Z,0,0,0,14,3,4,26,14,0,3,0,0,0,0,48,26,6
grapesjs,2017-10-03T04:04:28.077Z,0,0,0,0,0,0,0,0,1,18,4,2,0,4,25,5,0
ngrx,2017-07-18T17:14:03.380Z,0,0,0,0,0,0,1,0,2,0,0,0,0,3,1,0,0
openapi_generator,2019-04-09T10:14:07.133Z,3,0,0,0,0,0,0,3,1,0,4,5,7,0,0,4,0
solidus,2019-01-16T16:54:06.547Z,0,2,0,0,0,1,3,0,0,1,1,0,0,2,5,0,0
openframeworks,2022-05-05T16:52:20.364Z,0,0,0,0,3,0,0,9,11,9,3,1,17,4,14,4,0
stride3d,2021-10-21T18:13:26.562Z,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pixijs,2019-07-17T02:04:20.678Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cucumber,2017-06-23T12:25:54.126Z,3,0,0,2,2,10,11,2,0,0,20,0,35,0,4,2,0
prowlarr,2021-05-30T21:18:43.442Z,0,17,0,0,0,6,0,0,1,47,71,59,35,20,26,25,15
openmined,2018-06-28T01:34:07.007Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon,2019-02-25T19:54:07.338Z,13,2,0,0,6,6,0,0,0,0,0,16,4,8,73,0,1
discordpy,2022-04-03T00:50:44.364Z,6,0,0,0,0,0,0,5,0,6,2,5,3,1,2,0,0
typegraphql,2019-03-18T10:25:04.923Z,0,21,41,0,7,9,0,10,46,8,0,1,47,2,18,3,0
mautic,2020-08-14T01:20:26.098Z,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0
antennapod,2021-03-07T17:03:34.136Z,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
owncast,2021-03-02T16:54:16.622Z,8,28,21,47,31,12,19,4,6,6,9,8,52,10,10,0,2
lwjgl,2017-11-08T21:38:04.055Z,2,0,4,0,0,0,0,0,0,4,8,0,0,2,0,0,0
gitextensions,2018-11-01T14:05:26.056Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emacs-lsp,2020-07-07T15:01:03.772Z,0,3,3,0,4,4,4,4,1,4,2,0,3,113,178,62,145
xstate,2018-09-10T16:22:09.123Z,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,3,5
sindresorhus,2019-03-07T17:40:10.477Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electron,2018-03-22T14:54:51.845Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intellij-rainbow-brackets,2019-07-18T12:48:38.338Z,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
caprover,2019-02-05T06:57:03.983Z,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0
redux-devtools-extension,2016-11-03T15:52:23.487Z,0,32,14,0,1,3,5,5,3,4,1,2,1,9,1,0,0
celery,2018-04-17T16:47:47.482Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adnauseam,2017-08-29T14:27:37.778Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyclejs,2016-09-20T08:31:40.598Z,2,16,0,0,1,0,0,11,11,75,2,2,1,5,7,1,1
mixxx,2020-09-22T23:25:19.148Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ancientbeast,2019-12-06T21:57:36.039Z,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0,0
freecad,2022-04-04T05:58:01.448Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
editorjs,2019-04-02T11:12:39.189Z,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openscad,2021-01-31T21:39:38.291Z,0,0,0,0,0,0,0,6,24,4,6,11,15,1,9,7,10
hledger,2017-01-20T19:21:45.076Z,0,0,6,0,0,7,2,16,9,13,0,0,3,11,1,0,0
reactiveui,2017-03-21T19:08:37.547Z,0,0,0,1,2,1,2,27,9,7,34,11,5,24,7,29,0
reactiveui,2017-03-21T19:08:37.547Z,0,0,0,1,2,1,2,27,9,7,34,11,5,24,7,29,0
weg-li,2020-03-26T13:44:20.347Z,0,138,38,42,23,1,23,53,23,30,73,49,3,22,7,31,5
web-scrobbler,2022-04-01T23:14:22.198Z,0,2,12,6,3,4,6,9,4,9,3,13,2,1,9,19,8
nativescript,2020-06-26T21:21:47.587Z,80,24,4,22,10,15,17,0,5,9,4,56,28,26,28,35,10
husky,2019-06-26T15:37:59.804Z,2,0,2,0,3,2,0,0,1,2,0,1,5,0,0,5,11
spec,2020-06-16T15:37:43.078Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocnvim,2020-11-09T16:36:41.750Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcss,2019-12-23T19:20:30.096Z,0,47,0,0,0,39,23,0,0,9,5,0,0,6,4,0,0
warzone2100,2021-07-27T22:22:39.357Z,14,43,15,3,6,52,5,21,4,8,9,9,14,0,2,2,5
goreleaser,2018-02-20T15:54:04.885Z,0,0,2,20,11,13,44,31,19,8,6,2,4,2,1,15,8
react-hook-form,2019-09-23T19:35:01.451Z,0,0,0,0,0,18,13,4,1,4,6,0,0,23,60,93,89
xgboost,2019-03-04T22:36:17.327Z,2,0,1,1,1,1,0,0,0,47,0,4,0,0,1,4,0
signalk,2021-12-11T08:45:45.802Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readarr,2020-05-31T18:48:40.076Z,0,0,0,0,0,0,0,2,4,0,0,1,0,12,3,0,72
mudblazor,2020-11-12T21:16:48.785Z,0,0,0,0,0,0,0,0,0,11,19,9,0,9,0,0,1
asyncapi,2019-03-10T01:52:36.842Z,4,0,0,5,0,0,0,60,78,12,0,0,1,4,4,3,0
localstack,2017-09-20T20:02:33.664Z,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,1
pytest,2019-07-04T11:04:51.583Z,1,1,7,1,1,3,15,0,0,4,0,2,4,0,4,4,0
serverest,2020-10-15T18:37:53.720Z,0,44,1,17,25,76,7,62,153,14,26,26,14,28,9,19,0
rvm,2019-01-07T18:21:09.433Z,2,8,2,0,2,7,8,0,5,0,1,0,10,8,38,2,0
mvvmcross,2017-04-25T12:51:57.157Z,0,9,5,0,3,21,19,14,36,171,43,62,35,41,37,93,108
react-three-fiber,2019-09-12T00:58:24.973Z,0,0,0,11,12,0,0,0,16,1,1,2,4,1,0,4,1
fedibird-project,2021-08-04T04:37:25.759Z,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
react-spring,2018-07-20T20:10:15.267Z,0,0,0,0,0,4,2,5,6,10,2,0,0,13,5,3,1
uptime-kuma,2021-08-28T19:41:32.486Z,0,0,0,0,0,0,0,7,18,19,20,8,0,0,14,3,1
webdriverio,2021-03-23T13:42:03.019Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stylelint,2018-04-10T18:55:24.697Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thecodebarbarian,2020-11-02T13:34:48.673Z,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
browserslist,2020-01-30T19:16:31.799Z,3,0,0,0,0,0,2,7,3,12,34,89,40,42,113,66,79
ccxt,2018-01-17T20:56:56.622Z,0,0,0,5,4,12,27,11,45,38,12,17,32,13,12,4,4
privacyguides,2019-11-01T01:09:46.232Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
react-router,2019-02-27T21:23:09.508Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ariakit,2018-09-24T08:13:46.297Z,0,1,0,0,9,3,33,83,76,12,47,5,1,1,0,2,27
floccus,2019-09-17T01:07:43.438Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1
bookwyrm,2021-02-21T15:56:41.081Z,6,0,0,4,0,17,10,32,36,50,160,61,80,18,24,3,68
tiddlywiki,2021-03-24T15:28:59.649Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iosdevspace,2022-11-19T22:54:28.208Z,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
jmonkeyengine,2020-11-03T08:06:31.349Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nock,2018-04-27T19:33:16.584Z,2,12,6,7,0,2,7,17,0,1,2,18,18,5,3,0,19
pypy,2018-10-29T03:03:46.408Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
