project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
wangeditor,2022-07-19T16:35:44.590Z,0,0,0,0,0,0,0,0,79,148,119,85,112,74,41,50,80,0.0,88.625,0.0,35.967991722800264,88.625,inf,0.0,0.6455168868933415,0.0,0.0,-0.43923667182883946,9.885377963239241,10.32461463506808
wangeditor,2022-07-19T16:35:44.590Z,0,0,0,0,0,0,0,0,79,148,119,85,112,74,41,50,80,0.0,88.625,0.0,35.967991722800264,88.625,inf,0.0,0.6455168868933415,0.0,0.0,-0.43923667182883946,9.885377963239241,10.32461463506808
wangeditor,2022-07-19T16:35:44.590Z,0,0,0,0,0,0,0,0,79,148,119,85,112,74,41,50,80,0.0,88.625,0.0,35.967991722800264,88.625,inf,0.0,0.6455168868933415,0.0,0.0,-0.43923667182883946,9.885377963239241,10.32461463506808
material-table,2019-12-06T02:02:24.377Z,0,0,0,0,0,0,0,0,0,0,0,21,79,86,97,110,106,0.0,62.375,0.0,47.355607602781014,62.375,inf,0.0,0.8841540199367296,0.0,0.0,-0.43923667182883946,6.795824897587894,7.235061569416734
material-table,2019-12-06T02:02:24.377Z,0,0,0,0,0,0,0,0,0,0,0,21,79,86,97,110,106,0.0,62.375,0.0,47.355607602781014,62.375,inf,0.0,0.8841540199367296,0.0,0.0,-0.43923667182883946,6.795824897587894,7.235061569416734
polymc,2022-03-29T08:06:31.209Z,0,0,0,0,0,5,57,41,85,65,77,80,76,66,41,59,9,12.875,59.125,22.76863444051299,23.793381432658958,46.25,3.592233009708738,0.5651905762477222,0.5570766173548246,0.0,0.0,1.761641221389069,6.4133088037453465,4.651667582356278
polymc,2022-03-29T08:06:31.209Z,0,0,0,0,0,5,57,41,85,65,77,80,76,66,41,59,9,12.875,59.125,22.76863444051299,23.793381432658958,46.25,3.592233009708738,0.5651905762477222,0.5570766173548246,0.0,0.0,1.761641221389069,6.4133088037453465,4.651667582356278
framework7,2018-10-30T16:29:57.593Z,0,0,0,0,0,0,0,0,35,48,46,44,49,59,47,27,33,0.0,44.125,0.0,9.920217451533725,44.125,inf,0.0,0.2830788639171873,0.0,0.0,-0.43923667182883946,4.6478499090874354,5.087086580916275
openrocket,2022-05-30T02:18:38.652Z,0,0,0,0,0,0,0,0,4,47,34,35,43,37,39,25,32,0.0,36.5,0.0,6.761234037828133,36.5,inf,0.0,0.38571428571428573,0.0,0.0,-0.43923667182883946,3.750408304302997,4.189644976131837
kivymd,2020-04-28T12:53:31.566Z,0,0,0,0,0,0,0,0,0,22,35,46,42,42,40,33,23,0.0,35.375,0.0,8.943273609654511,35.375,inf,0.0,0.004688546550569326,0.0,0.0,-0.43923667182883946,3.6179988872036537,4.0572355590324936
