project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
metisprotocol,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
internet-archive,2022-06-01,56.0,35.0,71.0,61.0,51.0,33.0,43.0,32.0,50.0,45.0,38.0,30.0,68.0
paulmillr,2021-04-01,1.0,4.0,4.0,12.0,6.0,5.0,5.0,2.0,9.0,10.0,9.0,8.0,1.0
idriss-crypto,2022-08-01,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
solhint-protofire,2023-08-01,13.0,8.0,0.0,0.0,1.0,24.0,22.0,8.0,0.0,0.0,6.0,1.0,1.0
libp2p,2024-04-01,131.0,61.0,35.0,41.0,25.0,79.0,40.0,50.0,31.0,32.0,50.0,44.0,40.0
metricsdao,2023-08-01,46.0,42.0,46.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freedom-of-the-press-foundation,2021-09-01,45.0,34.0,29.0,34.0,48.0,26.0,37.0,6.0,26.0,31.0,25.0,36.0,51.0
punk-domains,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
walletconnect,2020-02-01,7.0,3.0,1.0,1.0,2.0,1.0,7.0,3.0,8.0,20.0,23.0,10.0,4.0
psf,2020-12-01,63.0,47.0,71.0,72.0,59.0,56.0,37.0,28.0,36.0,31.0,143.0,145.0,43.0
lido,2021-01-01,0.0,0.0,0.0,0.0,7.0,25.0,3.0,0.0,4.0,1.0,0.0,2.0,7.0
babel,2021-06-01,40.0,104.0,127.0,73.0,81.0,50.0,37.0,37.0,27.0,24.0,6.0,45.0,26.0
db3-dbpunk-labs,2023-04-01,4.0,20.0,12.0,8.0,8.0,6.0,9.0,6.0,40.0,8.0,0.0,0.0,0.0
sismo-core,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ethereum-lists,2021-06-01,2.0,1.0,1.0,15.0,8.0,6.0,11.0,21.0,9.0,17.0,8.0,47.0,35.0
ankr-network,2022-03-01,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
sourcecred,2021-11-01,16.0,2.0,2.0,19.0,6.0,3.0,10.0,2.0,1.0,0.0,0.0,1.0,0.0
nftstorage,2024-04-01,3.0,1.0,1.0,3.0,1.0,1.0,294.0,48.0,37.0,64.0,5.0,24.0,4.0
rndao,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
holonym-foundation,2023-08-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1hive,2020-07-01,34.0,10.0,8.0,23.0,36.0,17.0,23.0,11.0,6.0,9.0,13.0,12.0,15.0
governator-xyz,2023-04-01,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opencollective,2024-10-01,35.0,21.0,24.0,25.0,21.0,31.0,18.0,32.0,44.0,56.0,43.0,24.0,23.0
cyberconnecthq,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
vocdoni,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blocknative,2023-09-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eppie-io,2023-04-01,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
blockscout,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
quest-chains,2022-08-01,0.0,0.0,0.0,0.0,0.0,17.0,6.0,3.0,1.0,4.0,9.0,2.0,13.0
turbo-eth,2023-04-01,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,0.0
creativeplatform,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lp-finance-inc,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
samepage-network,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
