project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
,,,,,,,,,,,,,,
metisprotocol,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
internet-archive,2022-06-01,604.0,504.0,595.0,512.0,527.0,674.0,410.0,366.0,535.0,354.0,383.0,292.0,520.0
paulmillr,2021-04-01,20.0,33.0,17.0,24.0,13.0,45.0,22.0,27.0,36.0,28.0,23.0,17.0,6.0
idriss-crypto,2022-08-01,0.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0
dagora-playground,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
solhint-protofire,2023-08-01,91.0,33.0,1.0,0.0,3.0,69.0,85.0,20.0,14.0,8.0,15.0,2.0,3.0
libp2p,2024-04-01,2072.0,1786.0,838.0,603.0,462.0,552.0,622.0,729.0,462.0,437.0,730.0,687.0,517.0
tokenengineeringcommunity,2023-08-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metricsdao,2023-08-01,182.0,142.0,141.0,67.0,34.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
freedom-of-the-press-foundation,2021-09-01,423.0,310.0,244.0,259.0,223.0,211.0,168.0,81.0,312.0,308.0,439.0,415.0,464.0
punk-domains,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
walletconnect,2020-02-01,21.0,20.0,20.0,27.0,24.0,19.0,25.0,17.0,21.0,45.0,104.0,52.0,34.0
psf,2020-12-01,428.0,283.0,457.0,386.0,417.0,297.0,254.0,292.0,433.0,318.0,618.0,737.0,391.0
lido,2021-01-01,0.0,0.0,0.0,0.0,25.0,84.0,9.0,12.0,12.0,5.0,1.0,10.0,86.0
babel,2021-06-01,899.0,737.0,1374.0,726.0,1092.0,773.0,662.0,719.0,471.0,541.0,147.0,519.0,449.0
db3-dbpunk-labs,2023-04-01,42.0,93.0,77.0,44.0,99.0,21.0,44.0,57.0,114.0,46.0,57.0,6.0,6.0
sismo-core,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
ethereum-lists,2021-06-01,19.0,26.0,58.0,53.0,59.0,53.0,43.0,81.0,37.0,56.0,24.0,81.0,70.0
ankr-network,2022-03-01,0.0,0.0,0.0,0.0,0.0,26.0,208.0,154.0,30.0,21.0,30.0,75.0,9.0
sourcecred,2021-11-01,143.0,32.0,36.0,118.0,53.0,27.0,110.0,33.0,45.0,30.0,28.0,26.0,5.0
nftstorage,2024-04-01,24.0,3.0,35.0,34.0,39.0,63.0,272.0,86.0,92.0,125.0,29.0,45.0,16.0
