project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
defi-llama,2021-09-01,10,11,31,38,34,51,60,67,116,58,161,134,167,164,179,207,193,37.75,157.875,20.947212566012556,45.93298690172767,120.125,3.1821192052980134,0.9495903196049704,0.688484993577629,0.0,0.0,1.8130883906480084,7.7748058571302625,5.961717466482254
snapshot-labs,2020-10-01,0,0,0,0,0,0,0,0,75,95,97,93,78,113,121,130,97,0.0,103.0,0.0,16.962142721787412,103.0,inf,0.0,0.26246039627370316,0.0,0.0,-0.19044289570186956,4.9871511588710735,5.177594054572943
openbuildxyz,2023-11-01,0,0,0,0,2,8,5,1,21,20,31,12,15,28,10,274,107,2.0,62.125,2.9760952365713798,91.23194537629271,60.125,30.0625,0.32296466973886323,0.3425117665081793,0.0,0.0,-0.08429554278267073,2.910697659256598,2.994993202039269
sushi,2021-02-01,0,0,2,19,14,12,13,15,31,28,28,50,60,81,69,93,37,9.375,55.75,7.520210863305059,24.32958222881296,46.375,4.946666666666666,0.5717443276647571,0.31195733995299585,0.0,0.0,0.307122821106875,2.5868471134451663,2.279724292338291
ethereum-lists,2021-06-01,15,20,17,20,27,36,35,35,34,41,35,50,21,82,79,82,75,25.625,58.125,8.749489781042746,24.298368551936036,32.5,1.2682926829268293,0.8646406078176545,0.5554201718796585,0.0,0.0,1.1695700635753654,2.70749731678668,1.5379272532113146
learnweb3dao,2022-03-01,0,0,0,0,0,5,19,22,24,15,38,23,19,35,28,29,25,5.75,26.5,9.300537618869138,7.708992893275452,20.75,3.608695652173913,0.6851480476583697,0.04487179487179488,0.0,0.0,0.11473074394082708,1.1009446091338904,0.9862138651930633
smoldapp,2024-04-01,9,21,15,10,4,11,4,27,41,33,26,19,22,18,24,57,50,12.625,31.125,8.05228450281569,14.681742792617348,18.5,1.4653465346534653,0.006937613932932028,0.3204255772394286,0.0,0.0,0.47961226960057307,1.3358950051147331,0.85628273551416
1hive,2020-07-01,11,12,10,9,11,12,13,8,13,11,18,31,27,12,26,49,59,10.75,29.125,1.6690459207925603,17.116721147963556,18.375,1.7093023255813953,0.019536019536019543,0.6168128005758285,0.0,0.0,0.3800991262388242,1.2342948338797741,0.8541957076409499
dapp-learning-dao,2021-09-01,0,0,0,0,0,0,0,0,0,0,3,24,18,21,27,24,20,0.0,17.125,0.0,10.06319318819117,17.125,inf,0.0,0.5546095002980913,0.0,0.0,-0.19044289570186956,0.6246938064700199,0.8151367021718895
banklessdao,2021-06-01,0,0,0,0,0,0,0,4,10,10,15,15,13,20,23,19,16,0.5,16.375,1.4142135623730951,4.138236339311712,15.875,31.75,0.3333333333333334,0.42946521674363175,0.0,0.0,-0.16390605747206985,0.5865937422569103,0.7504997997289802
opensource-observer,2023-11-01,0,0,0,0,0,0,0,3,16,6,6,6,7,9,28,48,15,0.375,15.625,1.0606601717798212,15.108535903351362,15.25,40.666666666666664,0.3333333333333334,0.4331683076109267,0.0,0.0,-0.1705402670295198,0.5484936780438007,0.7190339450733205
kakarot-kkrt-labs,2023-04-01,0,0,0,0,0,0,0,0,0,5,6,16,28,20,16,18,11,0.0,15.0,0.0,7.578164119928482,15.0,inf,0.0,0.130833925610045,0.0,0.0,-0.19044289570186956,0.5167436245328759,0.7071865202347455
raid-guild,2020-02-01,0,0,0,0,0,0,2,3,2,10,11,19,26,18,13,12,10,0.625,14.875,1.1877349391654206,5.667892024377317,14.25,22.8,0.5792646172393009,0.011673151750972765,0.0,0.0,-0.15727184791461993,0.510393613830691,0.6676654617453109
pluralitybook,2023-11-01,3,1,2,4,13,9,6,20,13,11,17,25,49,18,19,13,16,7.25,21.0,6.497252166438187,12.059376908803017,13.75,1.896551724137931,0.6098622189992748,0.006759285246515111,0.0,0.0,0.1943412586302262,0.8215441382377531,0.6272028796075269
walletconnect,2020-02-01,11,10,15,10,7,12,11,4,6,12,11,11,27,29,24,29,37,10.0,22.5,3.295017884191656,9.94269293788875,12.5,1.25,0.2456140350877194,0.8054293971924033,0.0,0.0,0.3402938688941246,0.8977442666639723,0.5574503977698477
zigzagexchange,2021-11-01,0,0,0,0,0,0,0,0,4,5,8,11,15,13,17,18,11,0.0,12.25,0.0,4.432026302139591,12.25,inf,0.0,0.5049350649350651,0.0,0.0,-0.19044289570186956,0.3770433890848072,0.5674862847866768
dethcrypto,2021-11-01,0,0,0,0,0,0,14,12,20,13,17,9,18,15,21,18,11,3.25,15.25,6.041522986797286,4.026696625558686,12.0,3.6923076923076925,0.5525114155251142,0.030207677784770313,0.0,0.0,-0.017953447208171464,0.5294436459372458,0.5473970931454173
rotki,2020-02-01,0,0,0,0,0,2,6,7,17,13,11,9,8,11,16,20,18,1.875,13.25,2.948970764763288,4.334248987508019,11.375,6.066666666666666,0.706463283465337,0.4895889914901322,0.0,0.0,-0.09092975234012066,0.4278434747022868,0.5187732270424075
metagame-metafam,2020-01-01,0,0,0,0,0,0,0,0,1,9,18,13,8,10,15,13,5,0.0,11.375,0.0,4.172614801981401,11.375,inf,0.0,0.0989010989010989,0.0,0.0,-0.19044289570186956,0.33259331416951265,0.5230362098713822
eth-brownie,2020-07-01,0,0,0,0,0,0,2,8,7,5,7,12,8,19,14,16,19,1.25,12.5,2.8157719063467175,5.42481072744215,11.25,9.0,0.46718146718146736,0.7397133610725842,0.0,0.0,-0.12410080012737029,0.3897434104891771,0.5138442106165474
wtfacademy,2022-06-01,0,0,0,0,0,0,0,0,0,2,5,6,21,13,9,16,18,0.0,11.25,0.0,6.798108980759702,11.25,inf,0.0,0.5193199381761979,0.0,0.0,-0.19044289570186956,0.3262433034673277,0.5166861991691973
lido,2021-01-01,0,0,0,0,0,0,13,25,6,8,10,11,12,17,24,22,19,4.75,15.375,9.361776388210581,5.950690236074659,10.625,2.236842105263158,0.5588543485854001,0.7867108517638017,0.0,0.0,0.06165706748122766,0.5357936566394308,0.4741365891582031
ankr-network,2022-03-01,1,4,1,1,5,3,5,12,16,18,12,13,12,17,14,16,13,4.0,14.375,3.664501525251617,2.326094212561969,10.375,2.59375,0.5359675785207701,0.007700770077007702,0.0,0.0,0.021851810136528097,0.48499357102195123,0.46314176088542314
teku-consensys,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,12,17,16,13,12,13,0.0,10.375,0.0,6.653409437488207,10.375,inf,0.0,0.44966288249870356,0.0,0.0,-0.19044289570186956,0.28179322855203315,0.4722361242539027
apeworx,2022-06-01,7,7,10,9,8,13,14,17,22,23,25,24,19,21,16,20,17,10.625,20.625,3.662064211031025,3.2486260832190936,10.0,0.9411764705882353,0.8096506245640737,0.6382241559906535,0.0,0.0,0.37346491668137427,0.8024941061311982,0.42902918944982393
commonsbuild,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,21,0.0,9.125,0.0,12.732831578246843,9.125,inf,0.0,0.6759764815718114,0.0,0.0,-0.19044289570186956,0.21829312153018374,0.40873601723205333
giveth,2020-07-01,8,11,9,9,8,8,5,7,7,11,13,14,18,20,18,22,19,8.125,16.875,1.7268882005337973,3.7961446607992015,8.75,1.0769230769230769,0.4793270601653836,0.7803741075116541,0.0,0.0,0.2407807255323757,0.61199378506565,0.3712130595332743
cyberconnecthq,2021-12-01,0,0,0,0,0,0,0,2,4,8,15,9,9,10,9,6,4,0.25,8.75,0.7071067811865476,3.1959796173138706,8.5,34.0,0.3333333333333334,0.43156843156843144,0.0,0.0,-0.17717447658696972,0.19924308942362892,0.3764175660105986
nftstorage,2024-04-01,11,6,15,4,15,8,14,18,45,42,41,27,12,14,6,7,9,11.375,19.75,4.955156044825574,14.92600798223404,8.375,0.7362637362637363,0.21613852813852813,0.8146841936518117,0.0,0.0,0.4132701740260738,0.7580440312159037,0.3447738571898299
filecoin-project,2021-02-01,136,199,215,237,221,175,161,181,163,206,197,196,170,206,280,215,122,190.625,199.0,33.67040879721285,44.23637804858285,8.375,0.043934426229508196,9.075723788972174e-05,0.019163381515549725,0.0,0.0,9.926726679409269,9.863959378149108,-0.06276730126016083
darkforest-eth,2021-03-01,0,3,1,3,1,5,13,2,1,0,8,18,23,21,7,13,4,3.5,11.75,4.140393356054125,8.345229603962801,8.25,2.357142857142857,0.27162698412698416,0.003956043956043957,0.0,0.0,-0.00468502809327161,0.35164334627606747,0.35632837436933906
zkemail,2023-08-01,0,0,0,4,6,3,4,6,5,8,10,15,13,12,13,11,6,2.875,11.0,2.5877458475338284,2.9277002188455996,8.125,2.8260869565217392,0.6766984126984128,0.025396825396825397,0.0,0.0,-0.03785607588052124,0.31354328206295784,0.3513993579434791
vyperlang,2019-10-01,0,0,0,0,0,0,0,0,0,4,8,10,8,5,8,10,11,0.0,8.0,0.0,2.449489742783178,8.0,inf,0.0,0.3543083900226759,0.0,0.0,-0.19044289570186956,0.16114302521051926,0.3515859209123888
aztecprotocol,2021-11-01,4,1,2,2,0,3,2,1,4,5,5,16,12,11,7,7,14,1.875,9.625,1.2464234547582247,4.2067123233504535,7.75,4.133333333333334,0.12315270935960596,0.09730431022055643,0.0,0.0,-0.09092975234012066,0.2436931643389235,0.33462291667904415
beacon-chain,2020-02-01,0,0,0,0,0,5,6,4,3,2,8,9,10,8,20,8,11,1.875,9.5,2.6423744732991303,5.0142653642240695,7.625,4.066666666666666,0.6490074290585802,0.29883658008658004,0.0,0.0,-0.09092975234012066,0.23734315363673855,0.3282729059768592
zokrates,2019-02-01,0,0,0,0,5,7,10,8,8,8,15,8,16,13,12,8,10,3.75,11.25,4.234214381508266,3.24037034920393,7.5,2.0,0.8264086511098467,0.011661807580174927,0.0,0.0,0.008583391021628244,0.3262433034673277,0.31765991244569947
via-protocol,2022-02-01,0,0,0,0,0,0,0,0,3,5,6,8,8,9,10,6,6,0.0,7.25,0.0,1.752549163769328,7.25,inf,0.0,0.05426356589147289,0.0,0.0,-0.19044289570186956,0.12304296099740963,0.3134858566992792
lxdao-official,2022-08-01,0,0,0,0,0,0,1,1,3,3,2,4,7,9,11,11,11,0.25,7.25,0.4629100498862757,3.8078865529319543,7.0,28.0,0.5714285714285715,0.9017124091015716,0.0,0.0,-0.17717447658696972,0.12304296099740963,0.30021743758437935
quantum3-labs,2024-04-01,0,0,2,3,5,1,3,4,8,9,15,20,21,5,1,0,0,2.25,8.875,1.8322507626258084,8.806450557890587,6.625,2.9444444444444446,0.446808510638298,0.4881528019911627,0.0,0.0,-0.07102712366777088,0.20559310012581386,0.27662022379358475
vacp2p,2024-04-01,12,19,7,11,10,10,12,18,14,18,14,15,21,26,26,14,18,12.375,19.0,4.103569874424672,4.928053803045811,6.625,0.5353535353535354,0.011361914861384641,0.05056022408963584,0.0,0.0,0.46634385048567323,0.7199439670027941,0.25360011651712083
enviodev,2024-09-01,5,7,9,7,13,10,14,15,22,28,23,16,11,10,17,15,12,10.0,16.5,3.664501525251617,6.2105900340811875,6.5,0.65,0.8229483282674775,0.49603174603174616,0.0,0.0,0.3402938688941246,0.5929437529590952,0.2526498840649706
ezkl-zkonduit,2023-04-01,0,0,7,3,4,2,7,4,9,8,10,10,7,5,14,12,8,3.375,9.25,2.7222627143085005,2.866057521105554,5.875,1.7407407407407407,0.2755020080321286,0.041407867494824016,0.0,0.0,-0.011319237650721537,0.22464313223236868,0.23596236988309022
curve,2020-04-01,0,0,0,0,0,3,3,1,1,2,4,6,11,8,8,6,7,0.875,6.5,1.3562026818605375,2.7255405754769875,5.625,6.428571428571429,0.4442903374942209,0.2637362637362638,0.0,0.0,-0.14400342879972008,0.08494289678429999,0.22894632558402006
streamethorg,2023-08-01,0,0,0,0,0,0,0,2,3,3,6,8,5,6,8,5,6,0.25,5.875,0.7071067811865476,1.6420805617960925,5.625,22.5,0.3333333333333334,0.09113844213181964,0.0,0.0,-0.17717447658696972,0.05319284327337529,0.230367319860345
wighawag,2020-07-01,0,0,0,0,0,2,0,1,1,1,2,4,7,7,5,11,11,0.375,6.0,0.7440238091428449,3.7416573867739413,5.625,15.0,0.2596006144393241,0.8457240038872695,0.0,0.0,-0.1705402670295198,0.05954285397556023,0.23008312100508002
builders-garden,2024-04-01,0,0,0,0,1,4,3,4,7,7,8,6,7,6,9,7,6,1.5,7.0,1.8516401995451028,1.0690449676496976,5.5,3.6666666666666665,0.777777777777778,0.011904761904761906,0.0,0.0,-0.11083238101247045,0.11034293959303976,0.2211753206055102
relaycc,2022-06-01,0,0,0,0,0,0,0,0,0,0,4,4,7,5,4,12,7,0.0,5.375,0.0,3.461523198989551,5.375,inf,0.0,0.537151373216947,0.0,0.0,-0.19044289570186956,0.027792800464635534,0.2182356961665051
pypa,2021-09-01,197,232,175,241,164,155,188,146,184,102,224,194,251,179,195,212,184,187.25,192.625,34.6812011655553,43.50348918682927,5.375,0.02870493991989319,0.3604133262070195,0.08897428743064366,0.0,0.0,9.74760302135812,9.540108832337676,-0.20749418902044425
blockful-io,2024-01-01,2,2,2,2,3,4,7,9,8,15,9,9,8,12,9,6,5,3.875,9.125,2.6958963523950885,3.181980515339464,5.25,1.3548387096774193,0.7676377676377677,0.5510204081632654,0.0,0.0,0.01521760057907817,0.21829312153018374,0.20307552095110556
lighthouse-sigp,2019-02-01,0,1,1,4,8,5,7,12,13,12,8,10,8,16,10,7,8,4.75,9.875,4.131758532565591,2.948970764763288,5.125,1.0789473684210527,0.8418011556086873,0.061112740784198705,0.0,0.0,0.06165706748122766,0.2563931857432934,0.19473611826206574
sourcify-ethereum,2020-07-01,0,0,0,0,0,0,1,8,8,5,4,5,8,8,6,9,5,1.125,6.25,2.7998724460742337,1.8322507626258084,5.125,4.555555555555555,0.40362295259789577,0.19858156028368804,0.0,0.0,-0.1307350096848202,0.07224287537993011,0.20297788506475034
bootnodedev,2024-10-01,1,1,4,5,2,2,6,9,7,8,8,7,11,12,9,11,5,3.75,8.875,2.8157719063467175,2.3566016694748027,5.125,1.3666666666666667,0.5559845559845559,0.00015311590874291848,0.0,0.0,0.008583391021628244,0.20559310012581386,0.1970097091041856
revm-bluealloy,2022-06-01,1,4,2,5,5,6,7,5,6,5,8,6,12,11,9,11,14,4.375,9.5,1.9955307206712847,3.070597894314954,5.125,1.1714285714285715,0.6459534486440318,0.667027417027417,0.0,0.0,0.04175443880887788,0.23734315363673855,0.19558871482786067
nethermindeth,2019-10-01,4,6,7,9,6,8,7,8,9,8,13,13,8,12,13,17,11,6.875,11.875,1.5526475085202969,2.948970764763288,5.0,0.7272727272727273,0.38412698412698426,0.19800528014080376,0.0,0.0,0.17443862995787643,0.3579933569782524,0.18355472702037598
coin-cashew,2020-12-01,1,1,1,3,4,3,2,6,9,7,8,5,11,10,9,3,8,2.625,7.625,1.7677669529663689,2.615202805574687,5.0,1.9047619047619047,0.6010884353741496,0.006092254134029592,0.0,0.0,-0.0511244949954211,0.14209299310396445,0.19321748809938555
crunchdao,2022-08-01,0,0,0,0,0,0,0,0,1,3,3,6,3,5,8,5,6,0.0,4.875,0.0,1.807721533549109,4.875,inf,0.0,0.39578454332552704,0.0,0.0,-0.19044289570186956,0.0023927576558957736,0.19283565335776534
pool-together,2021-03-01,5,5,4,7,6,5,4,5,10,10,13,12,14,8,9,7,7,5.125,10.0,0.9910312089651149,2.7255405754769875,4.875,0.9512195121951219,0.007792207792207791,0.4986263736263737,0.0,0.0,0.08155969615357744,0.26274319644547833,0.1811835002919009
turbo-eth,2023-04-01,1,1,1,0,1,1,2,3,6,5,7,8,14,8,2,1,2,1.25,5.875,0.8864052604279183,4.323936698360485,4.625,3.7,0.4329004329004328,0.2558329922226771,0.0,0.0,-0.12410080012737029,0.05319284327337529,0.17729364340074558
dimensiondev,2020-04-01,14,12,10,13,12,9,9,13,14,12,17,16,16,16,13,16,23,11.5,16.125,1.927248223318863,3.2705394924123103,4.625,0.40217391304347827,0.1547619047619048,0.31552587646076796,0.0,0.0,0.4199043835835237,0.5738937208525404,0.1539893372690167
guardian-project,2024-10-01,4,8,6,7,7,5,3,10,7,7,3,10,10,17,8,18,13,6.25,10.75,2.2519832529192065,5.063877678504601,4.5,0.72,0.032863849765258225,0.46173232524207475,0.0,0.0,0.1412675821706268,0.30084326065858796,0.15957567848796117
us3r-network,2023-04-01,0,0,0,0,0,0,0,0,4,3,5,6,5,4,4,4,5,0.0,4.5,0.0,0.9258200997725514,4.5,inf,0.0,0.003968253968253969,0.0,0.0,-0.19044289570186956,-0.016657274450659044,0.17378562125121053
algoveraai,2021-11-01,0,0,0,0,0,0,0,0,5,2,5,4,5,4,5,5,6,0.0,4.5,0.0,1.1952286093343936,4.5,inf,0.0,0.5357142857142859,0.0,0.0,-0.19044289570186956,-0.016657274450659044,0.17378562125121053
ethhub-io,2019-02-01,0,0,0,0,0,0,38,44,19,18,14,16,13,17,15,15,8,10.25,14.5,19.046934511509043,3.070597894314954,4.25,0.4146341463414634,0.5813011560205892,0.3694083694083695,0.0,0.0,0.35356228800902445,0.49134358172413617,0.13778129371511172
probe-lab,2024-04-01,0,1,2,1,1,8,11,10,14,16,8,8,7,7,6,9,7,4.25,8.5,4.590362575159894,3.1622776601683795,4.25,1.0,0.7685230024213073,0.3482993197278912,0.0,0.0,0.03512022925142795,0.18654306801925902,0.15142283876783108
ethereum-attestation-service,2023-08-01,2,2,3,2,3,9,12,11,11,8,6,8,15,7,16,8,10,5.5,9.75,4.375255094603872,3.7321001364608946,4.25,0.7727272727272727,0.773987206823028,0.09768009768009767,0.0,0.0,0.10146232482592722,0.25004317504110846,0.14858085021518125
ethstorage,2024-01-01,4,4,4,8,9,7,7,9,12,10,13,14,10,10,11,10,8,6.5,10.75,2.2038926600773587,1.9086270308410553,4.25,0.6538461538461539,0.6302521008403364,0.3370681605975723,0.0,0.0,0.15453600128552664,0.30084326065858796,0.14630725937306133
