slug,name,owner,description,stargazerCount,forkCount,watchersCount,openIssuesCount,openPullRequestsCount,releasesCount,primaryLanguage,createdAt,updatedAt,url,hasGithubSponsor
freecodecamp_freecodecamp,freeCodeCamp,freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",424977,41066,8587,202,101,0,TypeScript,2014-12-24T17:49:19Z,2025-08-03T14:29:04Z,https://github.com/freeCodeCamp/freeCodeCamp,True
sindresorhus_awesome,awesome,sindresorhus,😎 Awesome lists about all kinds of interesting topics,388490,31017,7989,13,37,0,,2014-07-11T13:42:37Z,2025-08-03T14:34:40Z,https://github.com/sindresorhus/awesome,True
ebookfoundation_free-programming-books,free-programming-books,EbookFoundation,:books: Freely available programming books,364327,63863,9873,31,7,0,Python,2013-10-11T06:50:37Z,2025-08-03T14:19:44Z,https://github.com/EbookFoundation/free-programming-books,True
kamranahmedse_developer-roadmap,developer-roadmap,kamranahmedse,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",332998,42507,6865,291,33,1,TypeScript,2017-03-15T13:45:52Z,2025-08-03T14:35:02Z,https://github.com/kamranahmedse/developer-roadmap,True
trekhleb_javascript-algorithms,javascript-algorithms,trekhleb,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,192647,30799,4290,136,229,0,JavaScript,2018-03-24T07:47:04Z,2025-08-03T14:37:50Z,https://github.com/trekhleb/javascript-algorithms,True
ohmyzsh_ohmyzsh,ohmyzsh,ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",180426,26161,2634,139,362,0,Shell,2009-08-28T18:15:37Z,2025-08-03T13:30:20Z,https://github.com/ohmyzsh/ohmyzsh,True
twbs_bootstrap,bootstrap,twbs,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",172771,79134,6693,406,156,93,MDX,2011-07-29T21:19:00Z,2025-08-03T14:33:00Z,https://github.com/twbs/bootstrap,True
avelino_awesome-go,awesome-go,avelino,"A curated list of awesome Go frameworks, libraries and software",148978,12458,2822,5,122,0,Go,2014-07-06T13:42:15Z,2025-08-03T14:34:51Z,https://github.com/avelino/awesome-go,True
f_awesome-chatgpt-prompts,awesome-chatgpt-prompts,f,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,131895,17493,1529,0,277,0,JavaScript,2022-12-05T13:54:13Z,2025-08-03T14:23:08Z,https://github.com/f/awesome-chatgpt-prompts,True
yangshun_tech-interview-handbook,tech-interview-handbook,yangshun,💯 Curated coding interview preparation materials for busy software engineers,128257,15617,2173,41,13,0,TypeScript,2016-07-05T05:00:48Z,2025-08-03T13:48:26Z,https://github.com/yangshun/tech-interview-handbook,True
521xueweihan_hellogithub,HelloGitHub,521xueweihan,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",123619,10600,3980,208,2,57,Python,2016-05-04T06:24:11Z,2025-08-03T14:39:45Z,https://github.com/521xueweihan/HelloGitHub,True
mrdoob_three.js,three.js,mrdoob,JavaScript 3D Library.,107925,35930,2542,433,137,171,JavaScript,2010-03-23T18:58:01Z,2025-08-03T14:39:25Z,https://github.com/mrdoob/three.js,True
samber_lo,lo,samber,"💥  A Lodash-style Go library based on Go 1.18+ Generics (map, filter, contains, find...)",19854,889,80,123,86,61,Go,2022-03-02T12:48:45Z,2025-08-03T13:43:30Z,https://github.com/samber/lo,True
fatedier_frp,frp,fatedier,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,96828,14276,1573,55,3,105,Go,2015-12-21T15:24:59Z,2025-08-03T14:13:11Z,https://github.com/fatedier/frp,True
tauri-apps_tauri,tauri,tauri-apps,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",95177,3002,529,1118,65,1000,Rust,2019-07-13T09:09:37Z,2025-08-03T14:23:25Z,https://github.com/tauri-apps/tauri,True
rustdesk_rustdesk,rustdesk,rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",94821,13870,538,59,20,31,Rust,2020-09-28T15:36:08Z,2025-08-03T14:40:41Z,https://github.com/rustdesk/rustdesk,True
iluwatar_java-design-patterns,java-design-patterns,iluwatar,Design patterns implemented in Java,92366,27124,3733,129,28,0,Java,2014-08-09T16:45:18Z,2025-08-03T14:12:39Z,https://github.com/iluwatar/java-design-patterns,True
