project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
yamada-ui,2024-03-06T20:36:17.138Z,0,0,0,0,0,0,0,0,0,137,781,764,546,781,694,596,701
supabase-php,2022-12-12T20:26:41.542Z,0,0,0,0,0,0,0,0,0,0,0,0,1,707,1290,1311,1691
ccxt,2018-01-17T20:56:56.622Z,0,0,0,0,0,0,0,0,0,0,125,796,894,799,1009,721,656
cdnjs,2019-07-08T16:09:49.102Z,0,0,0,0,0,0,0,0,0,555,648,103,922,271,703,597,1200
dolibarr,2018-05-31T17:53:09.043Z,0,0,0,0,0,0,0,0,0,0,208,635,1060,1012,585,690,807
m68k-llvm-dev,2022-01-14T20:22:30.612Z,0,0,0,0,1,4,0,0,5,2,3,3,12,36,85,2199,2649
rust-analyzer,2019-07-02T14:20:06.250Z,0,0,0,0,0,0,102,250,288,251,360,384,663,609,470,855,768
mixxx,2020-09-22T23:25:19.148Z,5,7,18,3,6,12,170,446,529,620,704,571,409,299,502,239,443
wifi-passview,2021-07-13T20:54:56.724Z,62,41,27,11,54,33,4,12,16,8,23,129,174,810,787,656,752
dokploy,2024-05-31T06:53:21.538Z,0,0,0,0,0,0,0,14,166,122,256,225,275,327,276,499,325
sched-ext,2024-11-22T20:28:52.938Z,1,0,2,168,161,389,221,282,312,278,324,321,348,455,589,593,556
vllm,2024-05-01T07:26:22.904Z,83,53,78,99,93,98,201,218,220,329,372,378,322,356,430,337,413
logseq,2020-09-22T11:25:49.718Z,0,18,15,145,215,109,191,197,256,250,357,431,268,309,336,357,440
bookwyrm,2021-02-21T15:56:41.081Z,13,2,9,77,153,367,286,417,303,571,680,313,207,39,386,525,409
tahoe-lafs,2020-06-22T08:22:28.915Z,27,33,64,70,113,21,111,200,154,345,291,249,317,325,394,352,143
vuetify,2018-11-08T00:51:10.929Z,63,30,28,31,98,16,24,89,292,268,393,263,260,214,116,241,378
uptime-kuma,2021-08-28T19:41:32.486Z,0,0,0,0,0,0,10,343,347,568,554,160,102,143,52,148,269
manyfold,2024-03-28T15:45:19.835Z,146,132,117,121,99,68,214,407,278,370,262,248,382,250,441,504,361
webpack,2016-10-15T15:48:09.612Z,76,22,32,43,87,41,23,131,72,154,217,528,378,138,240,116,176
