project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
vllm,2024-05-01T07:26:22.904Z,5,4,7,9,15,21,26,33,32,42,40,48,57,46,49,39,52,15.0,46.625,10.703804397102395,6.186101934405635,31.625,2.1083333333333334,0.9300855005343784,0.07219518698753416,0.0,0.0,3.164346299624881,9.9311416192228,6.766795319597918
excalidraw,2020-01-25T21:16:30.999Z,0,0,0,0,0,0,0,7,26,15,19,25,15,11,15,13,8,0.875,15.125,2.4748737341529163,5.139135558215436,14.25,16.285714285714285,0.3333333333333334,0.41112077014713944,0.0,0.0,-0.5104878959571477,2.7353235751001397,3.245811471057287
uptime-kuma,2021-08-28T19:41:32.486Z,0,0,0,0,0,0,1,9,14,17,27,9,10,18,7,13,17,1.25,14.75,3.1509635714446826,6.4309519401985,13.5,10.8,0.39602603631380606,0.09507360802697594,0.0,0.0,-0.41292592616293455,2.64965907457487,3.062585000737805
yamada-ui,2024-03-06T20:36:17.138Z,1,1,1,2,6,7,17,22,21,21,21,20,12,23,33,19,16,7.125,20.625,8.096516005577426,6.06953752062591,13.5,1.894736842105263,0.8042573063003464,0.0005770606837014979,0.0,0.0,1.1155449339464047,3.9917362494707627,2.876191315524358
yamada-ui,2024-03-06T20:36:17.138Z,1,1,1,2,6,7,17,22,21,21,21,20,12,23,33,19,16,7.125,20.625,8.096516005577426,6.06953752062591,13.5,1.894736842105263,0.8042573063003464,0.0005770606837014979,0.0,0.0,1.1155449339464047,3.9917362494707627,2.876191315524358
yamada-ui,2024-03-06T20:36:17.138Z,1,1,1,2,6,7,17,22,21,21,21,20,12,23,33,19,16,7.125,20.625,8.096516005577426,6.06953752062591,13.5,1.894736842105263,0.8042573063003464,0.0005770606837014979,0.0,0.0,1.1155449339464047,3.9917362494707627,2.876191315524358
dokploy,2024-05-31T06:53:21.538Z,0,0,0,0,0,0,0,3,7,11,8,5,10,9,14,14,24,0.375,11.875,1.0606601717798212,5.743008171432708,11.5,30.666666666666668,0.3333333333333334,0.5571196534921495,0.0,0.0,-0.6405705223494319,1.9928979038811352,2.633468426230567
supabase-php,2022-12-12T20:26:41.542Z,26,32,26,31,33,27,38,33,37,41,40,37,42,45,45,44,44,30.75,42.25,4.200340122282616,2.8157719063467175,11.5,0.37398373983739835,0.3400809716599192,0.49592449592449606,0.0,0.0,7.2619490309818335,8.931722446427985,1.6697734154461514
supabase-php,2022-12-12T20:26:41.542Z,26,32,26,31,33,27,38,33,37,41,40,37,42,45,45,44,44,30.75,42.25,4.200340122282616,2.8157719063467175,11.5,0.37398373983739835,0.3400809716599192,0.49592449592449606,0.0,0.0,7.2619490309818335,8.931722446427985,1.6697734154461514
elk,2023-01-12T10:14:38.505Z,0,0,0,0,0,0,24,29,53,31,19,24,13,6,23,14,12,6.625,17.75,12.33968626598169,8.031189202104505,11.125,1.679245283018868,0.582625497718731,0.3720930232558141,0.0,0.0,0.9854623075541207,3.334975078777028,2.3495127712229076
