project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
yamada-ui,2024-03-06T20:36:17.138Z,0,0,0,0,0,0,0,0,0,40,190,215,122,183,185,166,236
sched-ext,2024-11-22T20:28:52.938Z,0,0,0,0,0,41,98,125,124,107,116,144,143,185,260,230,223
manyfold,2024-03-28T15:45:19.835Z,0,0,0,0,0,0,0,77,57,100,66,75,109,92,159,190,133
omnivore,2023-01-02T13:40:52.825Z,0,0,0,0,0,0,0,0,113,56,61,92,76,108,87,101,81
dokploy,2024-05-31T06:53:21.538Z,0,0,0,0,0,0,0,4,44,31,66,52,42,58,68,151,124
selenium,2023-09-12T17:47:37.067Z,0,0,0,0,0,0,0,2,69,128,52,47,62,40,52,55,97
rustpython,2022-04-22T16:09:10.764Z,0,0,0,0,0,6,25,20,67,72,51,103,118,28,57,31,61
stc,2022-11-06T12:44:07.966Z,0,0,0,5,0,0,0,45,141,71,122,148,92,43,27,12,1
thelounge,2018-03-26T18:32:27.641Z,0,0,0,0,0,0,0,0,38,53,64,93,61,42,61,58,24
bookwyrm,2021-02-21T15:56:41.081Z,0,0,0,0,0,30,56,89,59,131,143,66,39,13,72,82,73
gerbera-io,2021-01-25T10:44:51.512Z,26,23,14,4,15,27,11,20,76,46,49,50,42,117,63,117,95
pgrouting,2020-06-09T21:26:35.672Z,25,4,12,3,2,0,1,8,2,225,9,0,30,114,69,21,7
mvvmcross,2017-04-25T12:51:57.157Z,0,0,0,0,0,0,11,14,56,96,65,44,35,49,48,51,43
gotosocial,2022-06-01T19:43:13.733Z,0,0,0,0,0,0,0,0,0,0,0,0,18,144,56,69,108
uptime-kuma,2021-08-28T19:41:32.486Z,0,0,0,0,0,0,0,56,55,112,116,33,33,46,17,22,54
pdfme,2025-01-24T11:19:06.480Z,1,0,23,16,12,6,11,6,18,69,117,46,48,72,14,33,19
fossbilling,2022-05-23T19:17:16.885Z,0,0,0,0,0,0,0,0,0,0,0,0,4,79,62,100,77
proxypy,2021-07-10T09:21:11.227Z,3,11,12,9,13,10,13,9,8,16,14,21,143,76,104,9,15
notesnook,2022-11-05T17:29:18.048Z,1,0,2,0,1,2,30,26,30,15,59,46,68,60,33,49,42
tiddlywiki,2021-03-24T15:28:59.649Z,0,0,0,0,0,0,0,15,18,24,42,39,29,31,34,36,87
codeeditapp,2022-03-30T03:59:21.133Z,0,0,0,0,0,0,0,0,190,142,42,24,14,10,32,35,7
polymc,2022-03-29T08:06:31.209Z,0,0,0,0,0,3,51,53,72,70,93,64,63,28,34,41,16
univer,2023-12-26T03:21:20.578Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,247
nusmods,2018-08-26T17:50:14.028Z,0,0,0,0,0,0,0,0,0,0,0,4,43,59,71,53,68
quasar,2020-04-21T20:01:49.903Z,0,0,0,0,0,0,0,0,0,0,0,62,48,20,29,62,72
respec,2019-09-15T01:45:58.876Z,0,0,0,0,0,0,0,0,0,6,24,68,50,30,33,27,55
yew,2020-01-11T17:09:35.853Z,0,0,0,0,0,23,23,50,42,26,44,53,62,51,62,53,30
dosbox-staging,2021-05-11T21:26:58.073Z,0,0,0,0,0,0,0,0,0,0,39,44,32,35,47,50,36
rss-bridge,2022-03-05T11:22:14.384Z,18,13,14,30,20,12,18,25,77,86,49,86,60,20,54,39,32
hexo,2019-07-10T22:32:10.443Z,17,6,2,4,2,5,8,14,12,32,20,43,32,107,41,31,14
suitecrm,2019-07-09T12:53:56.888Z,0,0,0,44,80,54,45,103,109,45,86,157,102,53,59,44,41
prowlarr,2021-05-30T21:18:43.442Z,0,3,1,0,0,5,9,8,25,64,43,46,12,23,38,41,18
playframework,2021-11-08T21:38:39.747Z,0,0,0,0,0,0,0,9,21,42,48,28,34,25,34,36,18
cinny,2021-09-19T18:59:15.653Z,0,0,0,0,0,0,3,11,12,12,6,7,22,53,65,43,48
pymc,2021-06-14T21:27:30.439Z,0,0,0,23,22,55,38,35,53,36,50,32,52,74,38,65,63
sequel-ace,2020-09-05T15:37:29.808Z,0,0,0,0,0,63,55,17,19,43,75,73,56,37,33,22,14
opensid,2019-11-26T20:53:15.317Z,12,12,10,15,26,41,20,50,18,17,28,48,40,54,77,76,51
warzone2100,2021-07-27T22:22:39.357Z,0,0,0,0,34,59,36,62,82,64,32,94,92,35,21,35,23
