project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
,,,,,,,,,,,,,,
metisprotocol,2021-09-01,128.0,60.0,28.0,82.0,11.0,2.0,55.0,57.0,66.0,15.0,2.0,33.0,7.0
internet-archive,2022-06-01,320.0,459.0,391.0,379.0,413.0,263.0,323.0,494.0,505.0,361.0,245.0,392.0,454.0
paulmillr,2021-04-01,4.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,5.0,9.0,0.0,0.0,19.0
idriss-crypto,2022-08-01,18.0,13.0,31.0,24.0,37.0,54.0,109.0,26.0,42.0,30.0,2.0,3.0,11.0
arm0ry,2023-11-01,11.0,7.0,26.0,23.0,19.0,30.0,36.0,24.0,52.0,36.0,40.0,33.0,40.0
dagora-playground,2023-04-01,0.0,0.0,1.0,1.0,7.0,9.0,21.0,15.0,0.0,7.0,2.0,0.0,0.0
solhint-protofire,2023-08-01,4.0,0.0,0.0,0.0,0.0,24.0,48.0,10.0,24.0,0.0,34.0,26.0,11.0
libp2p,2024-04-01,299.0,229.0,1439.0,1653.0,1293.0,1647.0,1401.0,1102.0,213.0,107.0,220.0,275.0,233.0
metricsdao,2023-08-01,317.0,184.0,30.0,44.0,31.0,87.0,15.0,15.0,41.0,1.0,0.0,0.0,0.0
shambadynamic,2022-03-01,0.0,0.0,0.0,8.0,0.0,4.0,0.0,5.0,4.0,6.0,16.0,3.0,0.0
freedom-of-the-press-foundation,2021-09-01,329.0,238.0,172.0,327.0,108.0,213.0,148.0,88.0,147.0,109.0,173.0,235.0,242.0
punk-domains,2022-03-01,0.0,0.0,0.0,0.0,0.0,34.0,107.0,35.0,67.0,55.0,55.0,25.0,75.0
dna-seq,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,4.0
walletconnect,2020-02-01,24.0,33.0,10.0,15.0,19.0,39.0,51.0,12.0,24.0,24.0,38.0,45.0,34.0
psf,2020-12-01,8.0,24.0,11.0,0.0,17.0,4.0,0.0,0.0,2.0,14.0,1.0,37.0,29.0
lido,2021-01-01,0.0,0.0,0.0,0.0,124.0,160.0,6.0,42.0,53.0,117.0,99.0,172.0,425.0
babel,2021-06-01,97.0,70.0,162.0,101.0,125.0,96.0,70.0,48.0,84.0,70.0,44.0,53.0,37.0
db3-dbpunk-labs,2023-04-01,3.0,39.0,46.0,31.0,29.0,32.0,21.0,10.0,41.0,41.0,2.0,1.0,0.0
sismo-core,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
ethereum-lists,2021-06-01,24.0,19.0,59.0,46.0,40.0,31.0,29.0,65.0,25.0,36.0,20.0,51.0,74.0
ankr-network,2022-03-01,1.0,5.0,35.0,44.0,19.0,58.0,125.0,318.0,185.0,135.0,208.0,131.0,124.0
sourcecred,2021-11-01,87.0,25.0,37.0,98.0,36.0,33.0,76.0,103.0,37.0,96.0,55.0,36.0,22.0
nftstorage,2024-04-01,2.0,0.0,3.0,1.0,0.0,10.0,32.0,0.0,11.0,26.0,9.0,0.0,0.0
f3-buidlers,2023-04-01,0.0,0.0,0.0,0.0,13.0,4.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0
artist3-nft,2023-08-01,6.0,4.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rndao,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,12.0
holonym-foundation,2023-08-01,168.0,199.0,19.0,0.0,1.0,81.0,139.0,157.0,46.0,29.0,61.0,88.0,57.0
1hive,2020-07-01,85.0,147.0,104.0,91.0,274.0,176.0,339.0,122.0,349.0,139.0,115.0,371.0,289.0
governator-xyz,2023-04-01,0.0,18.0,47.0,95.0,65.0,0.0,29.0,26.0,0.0,3.0,0.0,0.0,0.0
opencollective,2024-10-01,189.0,100.0,129.0,136.0,96.0,120.0,161.0,121.0,188.0,130.0,144.0,135.0,155.0
cyberconnecthq,2021-12-01,0.0,0.0,0.0,0.0,0.0,4.0,29.0,25.0,82.0,59.0,221.0,113.0,51.0
vocdoni,2020-02-01,177.0,97.0,43.0,12.0,5.0,17.0,10.0,19.0,17.0,50.0,76.0,77.0,14.0
