project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
,,,,,,,,,,,,,,
metisprotocol,2021-09-01,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,20.0,4.0,0.0,3.0,0.0
internet-archive,2022-06-01,96.0,52.0,156.0,156.0,160.0,105.0,96.0,123.0,119.0,131.0,93.0,94.0,136.0
paulmillr,2021-04-01,0.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0
idriss-crypto,2022-08-01,0.0,0.0,0.0,0.0,1.0,2.0,18.0,3.0,5.0,6.0,0.0,2.0,3.0
dagora-playground,2023-04-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solhint-protofire,2023-08-01,13.0,4.0,0.0,0.0,2.0,14.0,27.0,2.0,10.0,0.0,8.0,12.0,2.0
libp2p,2024-04-01,258.0,195.0,130.0,107.0,84.0,183.0,119.0,159.0,118.0,78.0,150.0,128.0,121.0
metricsdao,2023-08-01,71.0,68.0,32.0,29.0,28.0,57.0,9.0,5.0,5.0,1.0,0.0,0.0,0.0
freedom-of-the-press-foundation,2021-09-01,83.0,89.0,58.0,99.0,50.0,61.0,49.0,16.0,53.0,47.0,65.0,84.0,100.0
punk-domains,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
walletconnect,2020-02-01,8.0,5.0,3.0,9.0,12.0,10.0,8.0,3.0,5.0,7.0,19.0,20.0,13.0
psf,2020-12-01,21.0,17.0,29.0,19.0,27.0,18.0,16.0,15.0,23.0,29.0,45.0,52.0,28.0
lido,2021-01-01,0.0,0.0,0.0,0.0,24.0,79.0,7.0,3.0,9.0,17.0,19.0,44.0,75.0
babel,2021-06-01,91.0,72.0,125.0,88.0,110.0,75.0,56.0,45.0,66.0,56.0,19.0,42.0,28.0
db3-dbpunk-labs,2023-04-01,3.0,34.0,24.0,25.0,22.0,22.0,15.0,10.0,38.0,43.0,2.0,1.0,0.0
sismo-core,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
ethereum-lists,2021-06-01,12.0,16.0,26.0,33.0,29.0,19.0,26.0,35.0,21.0,23.0,6.0,47.0,53.0
ankr-network,2022-03-01,0.0,0.0,1.0,2.0,5.0,34.0,105.0,117.0,70.0,58.0,85.0,88.0,69.0
sourcecred,2021-11-01,88.0,17.0,23.0,59.0,27.0,18.0,46.0,54.0,18.0,40.0,24.0,11.0,9.0
nftstorage,2024-04-01,2.0,0.0,2.0,0.0,0.0,7.0,29.0,0.0,7.0,10.0,2.0,0.0,0.0
f3-buidlers,2023-04-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rndao,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
holonym-foundation,2023-08-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1hive,2020-07-01,26.0,45.0,29.0,22.0,43.0,26.0,68.0,26.0,71.0,55.0,32.0,25.0,25.0
governator-xyz,2023-04-01,0.0,23.0,17.0,34.0,31.0,0.0,13.0,11.0,2.0,5.0,0.0,0.0,0.0
opencollective,2024-10-01,189.0,97.0,123.0,141.0,91.0,107.0,150.0,124.0,176.0,131.0,143.0,79.0,122.0
cyberconnecthq,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,12.0,4.0,8.0,16.0,27.0
vocdoni,2020-02-01,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0
blocknative,2023-09-01,30.0,24.0,17.0,16.0,3.0,7.0,25.0,29.0,9.0,3.0,5.0,7.0,26.0
eppie-io,2023-04-01,6.0,2.0,22.0,9.0,15.0,82.0,44.0,73.0,70.0,46.0,43.0,111.0,61.0
satellite-im,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
blockscout,2020-07-01,2.0,4.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
quest-chains,2022-08-01,0.0,0.0,0.0,0.0,0.0,5.0,28.0,6.0,13.0,8.0,9.0,22.0,27.0
