slug,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月
webpack,2016-10-15T15:48:09.612Z,0,0,0,0,0,0,0,0,0,1,0,0,0
logseq,2020-09-22T11:25:49.718Z,0,0,0,0,0,0,0,0,0,0,0,0,0
darkreader,2018-03-13T08:01:17.039Z,0,0,0,0,0,0,0,0,0,0,0,0,0
mochajs,2016-04-01T14:34:11.748Z,0,0,0,0,0,0,0,1,0,0,0,0,0
generator-jhipster,2017-12-04T17:37:57.900Z,0,0,0,0,0,0,0,0,0,0,0,0,0
jellyfin,2019-02-07T05:23:11.906Z,0,0,0,0,0,1,0,0,0,0,0,0,0
socketio,2017-05-09T06:56:43.674Z,0,0,0,0,0,0,0,0,0,0,0,0,0
core-js,2019-03-22T03:38:17.681Z,0,0,0,0,0,0,0,0,0,0,0,0,0
babel,2017-04-01T16:52:19.229Z,0,0,0,0,0,0,0,0,1,0,1,0,0
swiper,2021-01-29T07:03:01.329Z,0,0,0,0,0,0,0,0,0,0,0,0,0
nixos,2019-07-15T20:14:53.300Z,0,0,0,0,0,0,0,0,0,0,0,0,0
playframework,2021-11-08T21:38:39.747Z,0,0,0,0,0,0,0,0,0,0,0,0,0
opencore-legacy-patcher,2023-06-12T19:20:54.139Z,0,0,0,0,0,0,0,0,0,0,0,0,0
radarr,2018-03-19T21:56:07.916Z,0,0,0,0,0,0,0,0,0,0,0,0,0
eslint,2019-02-07T00:19:05.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0
bootstrap-vue,2017-11-13T19:51:05.087Z,0,0,0,0,1,0,0,0,0,0,0,0,0
streetmix,2016-09-20T15:00:20.116Z,0,0,0,0,0,0,0,0,0,0,0,0,0
bower,2017-04-07T00:12:10.581Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openaddresses,2020-01-04T16:05:09.586Z,0,0,0,0,0,0,0,0,0,0,0,0,0
crystal-lang,2018-12-12T22:51:50.801Z,0,0,1,1,0,0,0,0,0,0,0,0,0
nodemon,2017-12-07T20:28:06.923Z,0,0,0,0,0,0,0,0,0,0,0,0,0
